type_of_fish,search_fish
Rutilus rutilus,Rutilus rutilus
S._atromaculatus,Semotilus atromaculatus
Salminus maxillosus,Salminus maxillosus
Salvelinus alpinus,Salvelinus alpinus
Sarotherodon galilaeus,Sarotherodon galilaeus
Sarotherodon melanotheron,Sarotherodon melanotheron
Scaphirhynchus_albus,Scaphirhynchus albus
Schizolecis guntheri,Schizolecis guntheri
Semotilus bullaris,Semotilus bullaris
Semotilus corporalis,Semotilus corporalis
Semotilus_Atromaculatus,Semotilus Atromaculatus
Sicyopterus stimpsoni,Sicyopterus stimpsoni
Siluranodon auritus,Siluranodon auritus
Smallmouth Bass,Smallmouth Bass
Sphyraena afra,Sphyraena afra
Squalius alburnoides,Squalius alburnoides
Squalius carolitertii,Squalius carolitertii
Squalius cii,Squalius cii
Stizostedion canadense,Stizostedion canadense
Strongylura senegalensis,Strongylura senegalensis
Synaptura lusitanica,Synaptura lusitanica
THYMALLUS MONTANUS,Tymallus montanus
Tilapia guineensis,Tilapia guineensis
Tilapia mariae,Tilapia mariae
Tilapia zillii,Tilapia zillii
Trachinotus teraia,Trachinotus teraia
Triportheus signatus,Triportheus signatus
warmouth,Lepomis gulosus
Xenomystus nigri,Xenomystus nigri
