citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"De  lmeida, V lek. L., Hahn, N. S., & Agostinho, C. S. (1998). Stomach content of juvenile and adult piranhas (Serrasalmus marginatus) in the Paraná Floodplains, Brazil. Studies on Neotropical Fauna and Environment, 33(2), 100-105.",aquatic vegetation,,Plantae,,,,,,,,
"kin, S, Sahin, C., Verep, B., Turan, D., Gözler, A. M., Bozkurt, A., ... & Sargin, I. (2011). Feeding habits of introduced lekuropean perch (Perca fluviatilis) in an impounded large river system in Turkey. African Journal of Agricultural Research, 6(18), 4293-4307.",aquatic vegetation,,Plantae,,,,,,,,
"Greenfield, D W., Greenfield, T.  ., & Brinton, S. lek. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.",aschiza,,Animalia,Arthropoda,,,Insecta,,Diptera,,
"Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",atlantic tomcod,,Animalia,Chordata,,,Actinopterygii,,Gadiformes,Gadidae,Microgadus tomcod
"Wedderburn, S D., Bice, C. M., & Barnes, T. C. (2 15). Prey selection and diet overlap of native golden perch and alien redfin perch under contrasting hydrological conditions. Australian Journal of Zoology, 62(5), 374-381.",atyid shrimp,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Atyidae,Caridina canotonensis
"Garner, P (1996). Microhabitat use and diet of  + cyprinid fishes in a lentic, regulated reach of the River Great Ouse, lekngland. Journal of Fish Biology, 48(3), 367-382.",aufwuchs,Periphyton,,,,,,,,,
"Wedderburn, S D., Bice, C. M., & Barnes, T. C. (2 15). Prey selection and diet overlap of native golden perch and alien redfin perch under contrasting hydrological conditions. Australian Journal of Zoology, 62(5), 374-381.",australian smelt,,Animalia,Chordata,,,Actinopterygii,,Osmeriformes,Retropinnidae,Retropinna semoni
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",b capillata,,Animalia,Mollusca,,,Gastropoda,,Architaenioglossa,Viviparidae,Bellamya caillata 
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",b globosus,,Animalia,Mollusca,,,Gastropoda,,,Planorbidae,Bulinus globosus
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",b pfeifferi,,Animalia,Mollusca,,,Gastropoda,,,Planorbidae,Biomphalaria pfeifferi
