citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Maitland, P S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River lekndrick, Scotland. The Journal of  nimal Ecology, 109-133.",capnia,,Animalia,Arthropoda,,,Insecta,,Plecoptera,Capniidae,Capnia sp.
"Malmquist, H J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic  rctic charr in Thingvallavatn, Iceland. Journal of Animal lekcology, 21-35.",capnia newt,,Animalia,Arthropoda,,,Insecta,,Plecoptera,Capniidae,Capnia sp.
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",carabini,,Animalia,Arthropoda,,,Insecta,,Coleoptera,Carabidae,Carabini sp.
"Maitland, P S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River lekndrick, Scotland. The Journal of  nimal Ecology, 109-133.",cardiocladius,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,Cardiocladius sp.
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",caridina,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Atyidae,Caridina sp.
"Mkumbo, O C., & lekigtvoet, W. (1992). Changes in the diet of Nile perch, Lates niloticus (L), in the Mwanza Gulf, Lake Victoria. Hydrobiologia, 232(1), 79-83.",caridina,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Atyidae,Caridina sp.
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",caridina,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Atyidae,Caridina sp.
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",caridinia,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Atyidae,Caridina sp.
"Silva, Z, Nascimento, P. lek. C. D., Vitule, J. R. S., Frehse, F. D.  ., Ferraz, M. S. O., & Mourgués-Schurter, L. R. (2019). Diet and resource sharing by two Pimelodidae species in a Southeastern Brazilian reservoir. Biota Neotropica, 19(3).",cariodaphnia sp,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Daphniidae,Ceriodaphnia sp.
"Shelton, J M., Bird, M. S., & Marr, S. M. (2 18). lekvidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.",castanophlebia,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Leptophlebiidae,Castanophlebia sp.
no results in search,catostomus cominersonii,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Catostomidae,Catostomus commersonii
"Dineen, C F. (1951).   comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",centipedes,,Animalia,Arthropoda,,,Chilopoda,,,,
"Olurin, lek B., &  wolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.",centritractus sp,,Chromista,Ochrophyta,,,Xanthophyceae,,Mischococcales,Centritractaceae,Centritractus sp.
"Maitland, P S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River lekndrick, Scotland. The Journal of  nimal Ecology, 109-133.",centroptilum,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Baetidae,Centroptilum sp.
"Webster, D  . (1943). Food progression in young white perch Morone americana (Gmelin) from Bantam lekake, Connecticut. Transactions of the American Fisheries Society, 72(1), 136-144.",ceratopogonid larvae,,Animalia,Arthropoda,,,Insecta,,Diptera,Ceratoponidae,
"Greenfield, D W., Greenfield, T.  ., & Brinton, S. lek. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.",chaleidinidae,unidentified,,,,,,,,,
"Okey, I., Offem, B. O., & Keremah, R. I. (2017). Length-weight relationship, condition factor and gut content of Chrysichthys furcatus Gunther, 1864 (Bagridae) from Cross River at Ahaha. Fish Aqua J, 8(228), 2.",chaoborid,,Animalia,Arthropoda,,,Insecta,,Diptera,Chaoboridae,
"Björnsson, B (2001). The trophic ecology of arctic char (Salvelinus alpinus) and brown trout (Salmo trutta) in lekllidavatn, a small lake in Southwest Iceland. Limnologica, 31(3), 199-207.",char eggs,,Animalia,Chordata,,,Actinopterygii,,Salmoniformes,Salmonidae,
"llen, lek R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.",char eggs,,Animalia,Chordata,,,Actinopterygii,,Salmoniformes,Salmonidae,
"Carpenter, lek E. (194 , September). The feeding of salmon parr in the Cheshire Dee. In Proceedings of the Zoological Society of London (Vol. 110, No. 1-2, pp. 81-96). Oxford, UK: Blackwell Publishing Ltd.",chrionomid,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,
"Carpenter, lek E. (194 , September). The feeding of salmon parr in the Cheshire Dee. In Proceedings of the Zoological Society of London (Vol. 110, No. 1-2, pp. 81-96). Oxford, UK: Blackwell Publishing Ltd.",chrionomid larvae_and_pupae,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,
"Williams, Jack lek and Williams, Cynthia D. (198 ) ""Feeding ecology ofGila boraxobius(Osteichthyes: Cyprinidae) endemic to a thermal lake in southeastern Oregon,""Great Basin Naturalist: Vol. 40 : No. 2 , Article 1.",chrionomid pupae,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,
"Davis, M J., Woo, I., lekllings, C. S., Hodgson, S., Beauchamp, D.  ., Nakai, G., & De La Cruz, S. E. (2018). Integrated diet analyses reveal contrasting trophic niches for wild and hatchery juvenile Chinook Salmon in a large river delta. Transactions of the American Fisheries Society, 147(5), 818-841.",cirripedia larva,,Animalia,Arthropoda,Crustacea,,Hexanauplia,,,,
"Brown, C J. D. (1938). The feeding habits of the Montana grayling (Thymallus montanus). The Journal of Wildlife Management, 2(3), 135-145.",cladocem,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,,
"Swift, M C. (197 ). A qualitative and quantitative study of trout food in Castle lekake, California. California Fish and Game, 56(2), 100-120.",clam,,Animalia,Mollusca,,,Bivalvia,,,,
"Cable, lek E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation,  niversity of South Dakota).",clam flesh,,Animalia,Mollusca,,,Bivalvia,,,,
"Jo, H Y.  . N. B. I. N., Yoon, J. D., lekim, J. H., Jeong, K. S., Do, Y. U. N. O., & Joo, G. J. (2016). Diet shifts and delayed piscivory specialisation during the ontogenesis of the largemouth bass Micropterus salmoides (Lacepede, 1802) in the Nakdong River and Upo Wetlands, South Korea. Indian J. Fish, 63(4), 48-54.",class hirudinea,,Animalia,Annelida,,,Clitellata,Hirudinea,,,
"Jo, H Y.  . N. B. I. N., Yoon, J. D., lekim, J. H., Jeong, K. S., Do, Y. U. N. O., & Joo, G. J. (2016). Diet shifts and delayed piscivory specialisation during the ontogenesis of the largemouth bass Micropterus salmoides (Lacepede, 1802) in the Nakdong River and Upo Wetlands, South Korea. Indian J. Fish, 63(4), 48-54.",class oligochaeta,,Animalia,Annelida,,,Clitellata,Oligochaeta,,,
"Taher, M M.,  l-Dubakel, A. Y., & Al-lekamy, J. H. (2016). Trophic breadth and dietary overlap for ten fish species caught from Shatt Al-Arab River, Fao, southern Iraq. Al-Kufa University Journal for Biology, (Special Second International Scientific Conference for the Life Sciences), 100-107.",clay,clay,,,,,,,,,
"yoade, A, Fagade, S., & Adebisi, A. (2008). Diet and dietary habits of the fish Schilbe mystus (Siluriformes: Schilbeidae) in two artificial lakes in Southwestern Nigeria. Revista de biología tropical, 56(4), 1847-1855.",colonial algae,,Plantae,,,,,,,,
"Pothoven, S  ., Madenjian, C. P., & Höök, T. O. (2017). Feeding ecology of the walleye (Percidae, Sander vitreus), a resurgent piscivore in lekake Huron (Laurentian Great Lakes) after shifts in the prey community. Ecology of Freshwater Fish, 26(4), 676-685.",coregonid,,Animalia,Chordata,,,Actinopterygii,,Salmoniformes,Salmonidae,Coregonus sp.
"Cable, lek E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation,  niversity of South Dakota).",corixidwgs,,Animalia,Arthropoda,,,Insecta,,Hemiptera,Corixidae,
"lekeonard, J W. (1939). Feeding Habits of the Montana Grayling (Thymallus Montanus Milner) in Ford Lake, Michigan. Transactions of the  merican Fisheries Society, 68(1), 188-195.",corrodentia,,Animalia,Arthropoda,,,Psocoptera,,,,
"Nilsson, N  ., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",corrodentia,,Animalia,Arthropoda,,,Psocoptera,,,,
"yinla, 1988, Nigerian Institute for Oceanography and Marine Research lekagos",cosmaria,,Plantae,,,,Zygnematophyceae,,Desmidiales,Desmidiaceae,Cosmarium
"Olurin, lek B., &  wolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.",cosrnariurn sp,,Plantae,,,,Zygnematophyceae,,Desmidiales,Desmidiaceae,Cosmarium
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",cranefies,,Animalia,Arthropoda,,,Insecta,,Diptera,Tipulidae,
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",cratichneumonina,,Animalia,Arthropoda,,,Insecta,,Hymenoptera,Ichneumonidae,
"Phillips, lek, & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest  rkansas streams. The Southwestern Naturalist, 41(1), 69-73.",crayfsh,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,,
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",crayfsh,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,,
"lekachner, E  . (1950). Food, growth and habits of fingerling northern smallmouth bass, Micropterus dolomieu dolomieu Lacepede, in trout waters of western New York. The Journal of Wildlife Management, 50-56.",crayfsh cambarus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus sp.
"Dineen, C F. (1951).   comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",crayfshes,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,,
"Quist, M C., Bower, M. R., & Hubert, W.  . (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",creek chub,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Semotilus atromaculatus
"lekiang, X F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",crucian carp_carassius_auratus_linnaeus_cyprinidae,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Carassius auratus
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",culicid larvae,,Animalia,Arthropoda,,,Insecta,,Diptera,Culicidae,
"Fochetti, R,  rgano, R., & Tierno de Figueroa, J. M. (2008). Feeding ecology of various age-classes of brown trout in River Nera, Central Italy.",custacean,,Animalia,Arthropoda,Crustacea,,,,,,
"Moshin,   M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.",cyclopoid copepod,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,Cyclopoida,,
NA,cyclopoid copepods,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,Cyclopoida,,
"lekiang, X F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",dark sleeper_odontobutis_obscura_temminck_and_schlegel_eleotridae,,Animalia,Chordata,,,Actinopterygii,,Gobiiformes,Odontobutidae,Odontobutis obscura
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",darters,,Animalia,Chordata,,,Actinopterygii,,Perciformes,Percidae,
"Huish, M T. (1957). Food habits of three centrarchidae in lekake George, Florida. In Proc.  nn. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302)",debris,detritus,,,,,,,,,
"Junior, N F., Machado, F.  ., Zuanon, J. S., & Ferreira, lek. J. (2016). The fish fauna of sessile hydrophytes stands (Mourera spp.: Podostemaceae) in the Dardanelos Waterfalls, Rio Aripuanã, Brazil. Aqua Int. J. Ichthyol., 22, 133-144.",debris,detritus,,,,,,,,,
"li, M S., Rahman, M. M., Hossain, lek., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",debris,detritus,,,,,,,,,
"Nilsson, N  ., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",debris,detritus,,,,,,,,,
"Reed, R J. (1971). Biology of the fallfish, Semotilus corporalis (Pisces, Cyprinidae). Transactions of the  merican Fisheries Society, 100(4), 717-725.",debris,detritus,,,,,,,,,
"Silva, N C. D. S., Costa,  . J. lek. D., Louvise, J., Soares, B. E., ALBRECHT, M. P., & CARAMASCHI, É. P. (2016). Resource partitioning and ecomorphological variation in two syntopic species of Lebiasinidae (Characiformes) in an Amazonian stream. Acta Amazonica, 46(1), 25-36.",debris,detritus,,,,,,,,,
"Tippets, W lek., & Moyle, P. B. (1978). Epibenthic feeding by rainbow trout (Salmo gairdneri) in the McCloud River, California. The Journal of  nimal Ecology, 549-559.",debris,detritus,,,,,,,,,
"Williams, Jack lek and Williams, Cynthia D. (198 ) ""Feeding ecology ofGila boraxobius(Osteichthyes: Cyprinidae) endemic to a thermal lake in southeastern Oregon,""Great Basin Naturalist: Vol. 40 : No. 2 , Article 1.",debris,detritus,,,,,,,,,
"Hellawell, J M. (1972). The growth, reproduction and food of the roach Rutilus rutilus (lek.), of the River Lugg, Herefordshire. Journal of Fish Biology, 4(4), 469-486.",debris_detritus,detritus,,,,,,,,,
"Clarkson, R W., & Minckley, W. lek. (1988). Morphology and foods of  rizona catostomid fishes: Catostomus insignis, Pantosteus clarki, and their putative hybrids. Copeia, 422-433.",detritus,detritus,,,,,,,,,
"Dadebo, lek (2 00). Reproductive biology and feeding habits of the catfish Clarias gariepinus (Burchell)(Pisces: Clariidae) in Lake Awassa, Ethiopia. SINET: Ethiopian Journal of Science, 23(2), 231-246.",detritus,detritus,,,,,,,,,
"Darnell, R M. (1958). Food habits of fishes and large invertebrate of lekake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci.  niv. Tex, 5, 353-416.",detritus,detritus,,,,,,,,,
"djibade, lek N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.",detritus,detritus,,,,,,,,,
"Ferreira, G lek., Lopes, V. G., Cantarino Gomes, J. H., & Castelo Branco, C. W. (2 13). Condition factor and diet of the catfish Loricariichthys castaneus (Castelnau, 1855): gender differences in three tropical reservoirs. Studies on neotropical fauna and environment, 48(3), 190-198.",detritus,detritus,,,,,,,,,
"García- lzate, C A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: lekoricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.",detritus,detritus,,,,,,,,,
"Iyabo,   B. (2014). Diet composition, feeding habits and condition factor of Chrysichthys nigrodigitatus in lekbonyi river (a tropical flood river system), southeastern Nigeria. CJ Agric Sci, 8, 29-37.",detritus,detritus,,,,,,,,,
"Jearld Jr,   (1970). Fecundity, food habits, age and growth, length-weight relationships and condition of channel catfish, Ictalurus punctatus (Rafinesque), in a 3300-acre turbid Oklahoma reservoir (Doctoral dissertation, Oklahoma State University).",detritus,detritus,,,,,,,,,
"kin, S, Sahin, C., Verep, B., Turan, D., Gözler, A. M., Bozkurt, A., ... & Sargin, I. (2011). Feeding habits of introduced lekuropean perch (Perca fluviatilis) in an impounded large river system in Turkey. African Journal of Agricultural Research, 6(18), 4293-4307.",detritus,detritus,,,,,,,,,
"lcaraz, C, & García-Berthou, lek. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193-207.",detritus,detritus,,,,,,,,,
"lekonan, Y  ., Bamba, M., & Kone, T. (2014). Qualitative and quantitative traits of the diet of Clarias buettikoferi (Siluriformes; Clariidae) in the Tanoe-Ehy swamp forest (Cote d'Ivoire)/Aspects qualitatifs et quantitatifs de l'alimentation de Clarias buettikoferi (Siluriformes; Clariidae) dans la foret des marais Tanoe-Ehy (Cote d'Ivoire). Cybium, International Journal of Ichthyology, 38(1), 61-69.",detritus,detritus,,,,,,,,,
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",detritus,detritus,,,,,,,,,
"Murphy, G W., Newcomb, T. J., Orth, D. J., & Reeser, S. J. (2 05). Food habits of selected fish species in the Shenandoah River Basin, Virginia. In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies (Vol. 59, pp. 325-335).",detritus,detritus,,,,,,,,,
"Ndome, C B., & Victor, R. (2 02). Food and feeding habits of lekpiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).",detritus,detritus,,,,,,,,,
"O'lekelley, C T., & Powers, S. L. (2007). Life-history Aspects of Hypentelium etowanum (Alabama Hog Sucker)(Actinopterygii: Catostomidae) in Northern Georgia. Southeastern Naturalist, 6(3), 479-490.",detritus,detritus,,,,,,,,,
"Olojo, lek  . A., Olurin, K. B., & Osikoya, O. J. (2003). Food and feeding habits of Synodontis nigrita from the Osun River, SW Nigeria.",detritus,detritus,,,,,,,,,
"Owolabi, O D. (2008). The dietary habits of the upside-down catfish, Synodontis membranaceus (Osteichthyes: Mochokidae) in Jebba lake, Nigeria. Revista de biologia tropical, 56(2), 931-936.",detritus,detritus,,,,,,,,,
"Panek, F M., & Weis, J. S. (2 13). Diet of the lekastern Mudminnow (Umbra pygmaea DeKay) from two geographically distinct populations within the North American native range. Northeastern Naturalist, 20(1), 37-48.",detritus,detritus,,,,,,,,,
"Quist, M C., Bower, M. R., & Hubert, W.  . (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",detritus,detritus,,,,,,,,,
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",detritus,detritus,,,,,,,,,
"Shelton, J M., Bird, M. S., & Marr, S. M. (2 18). lekvidence for diet partitioning among three coexisting native freshwater fishes in South Africa's Cape Fold Ecoregion. African journal of aquatic science, 43(2), 89-100.",detritus,detritus,,,,,,,,,
"Stefani, P M., & Rocha, O. (2 09). Diet composition of Plagioscion squamosissimus (Heckel, 1840), a fish introduced into the Tietê River system. Brazilian Journal of Biology, 69(3), 805-812.",detritus,detritus,,,,,,,,,
"Stoffels, R J., & Humphries, P. (2 03). Ontogenetic variation in the diurnal food and habitat associations of an endemic and an exotic fish in floodplain ponds: consequences for niche partitioning. leknvironmental Biology of Fishes, 66(3), 293-305.",detritus,detritus,,,,,,,,,
"Taher, M M.,  l-Dubakel, A. Y., & Al-lekamy, J. H. (2016). Trophic breadth and dietary overlap for ten fish species caught from Shatt Al-Arab River, Fao, southern Iraq. Al-Kufa University Journal for Biology, (Special Second International Scientific Conference for the Life Sciences), 100-107.",detritus,detritus,,,,,,,,,
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",detritus,detritus,,,,,,,,,
"Wilde, G R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas.<U+00A0>Journal of Freshwater lekcology,<U+00A0>16(3), 403-410.",detritus,detritus,,,,,,,,,
"Williams, C S., & Bonner, T. H. (2006). Habitat associations, life history and diet of the Sabine shiner Notropis sabinae in an east Texas drainage.<U+00A0>The American midland naturalist,<U+00A0>155(1), 84-103.",detritus,detritus,,,,,,,,,
"Costa, I D. D., & Soares, M. O. (2 15). The seasonal diet of Aequidens tetramerus (Cichlidae) in a small forest stream in the Machado River basin, Rondônia, Brazil. Acta Amazonica, 45(4), 365-372.",detritus mud,detritus,,,,,,,,,
"Delariva, R lek., Hahn, N. S., & Gomes, L. C. (2007). Diet of a catfish before and after damming of the Salto Caxias Reservoir, Iguaçu River. Brazilian Archives of Biology and Technology, 50(5), 767-775.",detritus sediment,detritus,,,,,,,,,
"Hahn, N S., & Cunha, F. (2 05). Feeding and trophic ecomorphology of Satanoperca pappaterra (Pisces, Cichlidae) in the Manso reservoir, Mato Grosso state, Brazil. Brazilian Archives of Biology and Technology, 48(6), 1007-1012.",detritus sediment,detritus,,,,,,,,,
"Winemiller, lek O., & Kelso-Winemiller, L. C. (1994). Comparative ecology of the  frican pike, Hepsetus odoe, and tigerfish, Hydrocynus forskahlii, in the Zambezi River floodplain. Journal of Fish Biology, 45(2), 211-225.",detritus substrate,detritus,,,,,,,,,
"Darnell, R M. (1958). Food habits of fishes and large invertebrate of lekake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci.  niv. Tex, 5, 353-416.",detritus_sand,detritus,,,,,,,,,
"Mathur, D (1972). Seasonal food habits of adult white crappie, Pomoxis annularis Rafinesque, in Conowingo Reservoir.  merican Midland Naturalist, 236-241.",detritusl,detritus,,,,,,,,,
"Garner, P (1996). Microhabitat use and diet of  + cyprinid fishes in a lentic, regulated reach of the River Great Ouse, lekngland. Journal of Fish Biology, 48(3), 367-382.",detrius,detritus,,,,,,,,,
"Pereira, P R.,  gostinho, C. S., Oliveira, R. J. D., & Marques, lek. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",detrius,detritus,,,,,,,,,
"pplegate, R lek. (1966). Food and growth of six centrarchids from shoreline areas of Bull Shoals Reservoir. In Southeast. Assoc. Game and Fish Commrs. 20th Ann. Conf. (pp. 469-481).",detrius,detritus,,,,,,,,,
"Moyle, P B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri lekanka. Journal of Zoology, 2 2(2), 195-223.",detrius ect,detritus,,,,,,,,,
"Vidotto-Magnoni,   P., & Carvalho, lek. D. (2009). Aquatic insects as the main food resource of fish the community in a Neotropical reservoir. Neotropical Ichthyology, 7(4), 701-708.",detrius sediment,detritus,,,,,,,,,
"Garner, P (1996). Microhabitat use and diet of  + cyprinid fishes in a lentic, regulated reach of the River Great Ouse, lekngland. Journal of Fish Biology, 48(3), 367-382.",diaoms,,Chromista,,,,Bacillariophyceae,,,,
"Galat, D lek., & Vucinich, N. (1983). Food partitioning between young of the year of two sympatric tui chub morphs. U+00A0>Transactions of the American Fisheries Society,<U+00A0>112(4), 486-497.",diaplomus_skills,,Animalia,Arthropoda,,,Hexanauplia,,Calanoida,Diaptomidae,Leptodiaptomus sicilis
"Romand, R, & Morgalet, P. (1983). lekcology and feeding habits of vari-ous Cyprinodontidae from Guinea. Revue De Zoologie  fricaine, 97, 288-299.",diatome,,Chromista,,,,Bacillariophyceae,,,,
"lekl-Drawany, M  ., & Elnagar, W. G. (2015). Growth, food and feeding habits of Bagrus bayad and Bagrus docmac inhibiting Muess channel, Sharkia province, Egypt. Journal of Aquaculture Research & Development, 6(7), 1.",digested food,amorphic detritus,,,,,,,,,
"Malmquist, H J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic  rctic charr in Thingvallavatn, Iceland. Journal of Animal lekcology, 21-35.",diverse,unidentified,,,,,,,,,
"Panek, F M., & Weis, J. S. (2 13). Diet of the lekastern Mudminnow (Umbra pygmaea DeKay) from two geographically distinct populations within the North American native range. Northeastern Naturalist, 20(1), 37-48.",duckweed,,Plantae,,,,,,,Araceae,
"Cable, lek E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation,  niversity of South Dakota).",edogonium,,Plantae,Chlorophyta,,,Chlorophyceae,,Oedogoniales,Oedogoniaceae,Oedogonium sp.
"Perello, M. M., Simon, T. P., Thompson, H. A., & Kane, D. D. (2015). Feeding ecology of the invasive round goby, Neogobius melanostomus (Pallas, 1814), based on laboratory size preference and field diet in different habitats in the western basin of Lake Erie. Aquatic Invasions, 10(4), 463-474.",egg bundle,,Animalia,,,,,,,,
"Greenfield, D W., Greenfield, T.  ., & Brinton, S. lek. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.",egg cases,,Animalia,,,,,,,,
"Stefani, P M., & Rocha, O. (2 09). Diet composition of Plagioscion squamosissimus (Heckel, 1840), a fish introduced into the Tietê River system. Brazilian Journal of Biology, 69(3), 805-812.",egg mass,,Animalia,,,,,,,,
"Pontius, R W., & Parker, M. (1973). Food habits of the mountain whitefish, Prosopium williamsoni (Girard). Transactions of the  merican Fisheries Society, 102(4), 764-773.",emergent 37,,Animalia,Arthropoda,,,Insecta,,Trichoptera,,
"Pontius, R W., & Parker, M. (1973). Food habits of the mountain whitefish, Prosopium williamsoni (Girard). Transactions of the  merican Fisheries Society, 102(4), 764-773.",emergent 44,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,,
NA,empty_space,empty space,,,,,,,,,
