type_fishmatch,type_of_fish,fish_order,fish_family,fish_species,fish_class,fish_superclass
Nannatherina balstoni,Nannatherina balstoni,Perciformes,Percichthyidae,Nannatherina balstoni,Actinopterygii,Osteichthyes
Stizostedion canadense,Stizostedion canadense,Perciformes,Percidae,Sander canadensis,Actinopterygii,Osteichthyes
Etheostoma spectabile,Etheostoma spectabile,Perciformes,Percidae,Etheostoma spectabile,Actinopterygii,Osteichthyes
Percina caprodes,Percina caprodes,Perciformes,Percidae,Percina caprodes,Actinopterygii,Osteichthyes
Etheostoma microperca,Etheostoma microperca,Perciformes,Percidae,Etheostoma microperca,Actinopterygii,Osteichthyes
Etheostoma zonale,Etheostoma zonale,Perciformes,Percidae,Etheostoma zonale,Actinopterygii,Osteichthyes
Etheostoma trisella,Etheostoma trisella,Perciformes,Percidae,Etheostoma trisella,Actinopterygii,Osteichthyes
redfin perch,redfin perch,Perciformes,Percidae,Perca fluviatilis,Actinopterygii,NA
blackbanded darter,blackbanded darter,Perciformes,Percidae,Percina nigrofasciata,Actinopterygii,NA
Percopsis omiscomaycus,Percopsis omiscomaycus,Percopsiformes,Percopsidae,Percopsis omiscomaycus,Actinopterygii,Osteichthyes
Pimelodus blochii,Pimelodus blochii,Siluriformes,Pimelodidae,Pimelodus blochii,Actinopterygii,Osteichthyes
Iheringichthys labrosus,Iheringichthys labrosus,Siluriformes,Pimelodidae,Iheringichthys labrosus,Actinopterygii,Osteichthyes
Pimelodus maculatus,Pimelodus maculatus,Siluriformes,Pimelodidae,Pimelodus maculatus,Actinopterygii,Osteichthyes
Pimelodus pintado,Pimelodus pintado,Siluriformes,Pimelodidae,Pimelodus pintado,Actinopterygii,Osteichthyes
Pimelodus sp,Pimelodus sp,Siluriformes,Pimelodidae,Pimelodus sp.,Actinopterygii,NA
Gambusia affinis,Gambusia affinis,Cyprinodontiformes,Poeciliidae,Gambusia affinis,Actinopterygii,Osteichthyes
Gambusia sexradiata,Gambusia sexradiata,Cyprinodontiformes,Poeciliidae,Gambusia sexradiata,Actinopterygii,Osteichthyes
Gambusia holbrooki,Gambusia holbrooki,Cyprinodontiformes,Poeciliidae,Gambusia holbrooki,Actinopterygii,Osteichthyes
Gambia p. yucatana,Gambia p. yucatana,Cyprinodontiformes,Poecillidae,Gambusia yucatana,Actinopterygii,NA
Poecilial latipinna,Poecilial latipinna,Cyprinodontiformes,Poecillidae,Poecilia latipinna,Actinopterygii,NA
Polypterus senegalus,Polypterus senegalus,Polypteriformes,Polypteridae,Polypterus senegalus,Actinopterygii,Osteichthyes
Black crappie,Black crappie,Centrarchiformes,Centrarchidae,Pomoxis nigromaculatus,Actinopterygii,NA
Black Crappie,Black Crappie,Centrarchiformes,Centrarchidae,Pomoxis nigromaculatus,Actinopterygii,NA
Prochilodus nigricans,Prochilodus nigricans,Characiformes,Prochilodontidae,Prochilodus nigricans,Actinopterygii,Osteichthyes
PROSOPIUM-WILLIAMSONI,PROSOPIUM-WILLIAMSONI,Salmoniformes,Salmonidae,Prosopium williamsoni,Actinopterygii,NA
Rivulus luelingi,Rivulus luelingi,Cyprinodontiformes,Rivulidae,Atlantirivulus luelingi,Actinopterygii,Osteichthyes
salmo salar,salmo salar,Salmoniformes,Salmonidae,Salmo salar,Actinopterygii,NA
salmo trutta,salmo trutta,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,NA
SALMO TRUTTA,SALMO TRUTTA,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,NA
Salvelinus alpinus,Salvelinus alpinus,Salmoniformes,Salmonidae,Salvelinus alpinus,Actinopterygii,Osteichthyes
Salmo gairdneri,Salmo gairdneri,Salmoniformes,Salmonidae,Oncorhynchus mykiss,Actinopterygii,Osteichthyes
Salmo trutta,Salmo trutta,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,Osteichthyes
Prosopium williamsoni,Prosopium williamsoni,Salmoniformes,Salmonidae,Prosopium williamsoni,Actinopterygii,Osteichthyes
Salmo salar,Salmo salar,Salmoniformes,Salmonidae,Salmo salar,Actinopterygii,Osteichthyes
Arctic charr,Arctic charr,Salmoniformes,Salmonidae,Salvelinus alpinus,Actinopterygii,NA
Brown Trout,Brown Trout,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,NA
brown trout,brown trout,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,NA
Brown trout,Brown trout,Salmoniformes,Salmonidae,Salmo trutta,Actinopterygii,NA
Chinhook salmon,Chinhook salmon,Salmoniformes,Salmonidae,Onchorhynchus tshawytscha,Actinopterygii,NA
chinhook salmon,chinhook salmon,Salmoniformes,Salmonidae,Onchorhynchus tshawytscha,Actinopterygii,NA
Oncorhynchus,Oncorhynchus,Salmoniformes,Salmonidae,Onchorhynchus sp.,Actinopterygii,NA
Thymallus Montanus,Thymallus Montanus,Salmoniformes,Salmonidae,Thymallus arcticus,Actinopterygii,NA
Thymallus Montanus Milner,Thymallus Montanus Milner,Salmoniformes,Salmonidae,Thymallus arcticus,Actinopterygii,NA
Brook Trout,Brook Trout,Salmoniformes,Salmonidae,Salvelinus fontinalis,Actinopterygii,NA
Brook trout,Brook trout,Salmoniformes,Salmonidae,Salvelinus fontinalis,Actinopterygii,NA
brook trout,brook trout,Salmoniformes,Salmonidae,Salvelinus fontinalis,Actinopterygii,NA
Lake Trout,Lake Trout,Salmoniformes,Salmonidae,Salvelinus namaycush,Actinopterygii,NA
Lake trout,Lake trout,Salmoniformes,Salmonidae,Salvelinus namaycush,Actinopterygii,NA
Walleye,Walleye,Perciformes,Percidae,Sander vitreus,Actinopterygii,NA
Schilbe intermedius,Schilbe intermedius,Siluriformes,Schilbeidae,Schilbe intermedius,Actinopterygii,Osteichthyes
Schilbe mystus,Schilbe mystus,Siluriformes,Schilbeidae,Schilbe mystus,Actinopterygii,Osteichthyes
Eutropius niloticus,Eutropius niloticus,Siluriformes,Schilbeidae,Schilbe mystus,Actinopterygii,Osteichthyes
Micropogon undulatus,Micropogon undulatus,Perciformes,Sciaenidae,Micropogonias undulatus,Actinopterygii,Osteichthyes
Pogonias cromis,Pogonias cromis,Perciformes,Sciaenidae,Pogonias cromis,Actinopterygii,Osteichthyes
Cynoscion arenarius,Cynoscion arenarius,Perciformes,Sciaenidae,Cynoscion arenarius,Actinopterygii,Osteichthyes
Cynoscion nebulosus,Cynoscion nebulosus,Perciformes,Sciaenidae,Cynoscion nebulosus,Actinopterygii,Osteichthyes
Leiostomus xanthurus,Leiostomus xanthurus,Perciformes,Sciaenidae,Leiostomus xanthurus,Actinopterygii,Osteichthyes
Bairdiella chrysura,Bairdiella chrysura,Perciformes,Sciaenidae,Bairdiella chrysoura,Actinopterygii,Osteichthyes
Plagioscion squamosissimus,Plagioscion squamosissimus,Perciformes,Sciaenidae,Plagioscion squamosissimus,Actinopterygii,Osteichthyes
Micropogonias furnieri,Micropogonias furnieri,Perciformes,Sciaenidae,Micropogonias furnieri,Actinopterygii,Osteichthyes
Ctenosciaena gracilicirrhus,Ctenosciaena gracilicirrhus,Perciformes,Sciaenidae,Ctenosciaena gracilicirrhus,Actinopterygii,Osteichthyes
Aplodinotus grunniens,Aplodinotus grunniens,Perciformes,Sciaenidae,Aplodinotus grunniens,Actinopterygii,Osteichthyes
Creek chub,Creek chub,Cypriniformes,Cyprinidae,Semotilus atromaculatus,Actinopterygii,NA
Acnodon normani,Acnodon normani,Characiformes,Serrasalmidae,Acnodon normani,Actinopterygii,Osteichthyes
Serrasalmus maculatus,Serrasalmus maculatus,Characiformes,Serrasalmidae,Serrasalmus maculatus,Actinopterygii,Osteichthyes
Metynnis maculatus,Metynnis maculatus,Characiformes,Serrasalmidae,Metynnis maculatus,Actinopterygii,Osteichthyes
Myleus cf. torquatus,Myleus cf. torquatus,Characiformes,Serrasalmidae,Myleus torquatus,Actinopterygii,NA
SERRASALMUS MARGINATUS,SERRASALMUS MARGINATUS,Characiformes,Serrasalmidae,Serrasalmus marginatus,Actinopterygii,NA
Lagodon rhomboides,Lagodon rhomboides,Perciformes,Sparidae,Lagodon rhomboides,Actinopterygii,Osteichthyes
Sternopygus macrurus,Sternopygus macrurus,Gymnotiformes,Sternopygidae,Sternopygus macrurus,Actinopterygii,Osteichthyes
Colomesus asellus,Colomesus asellus,Tetraodontiformes,Tetraodontidae,Colomesus asellus,Actinopterygii,Osteichthyes
Vandellia,Vandellia,Siluriformes,Trichomycteridae,Vandellia sp.,Actinopterygii,NA
Triportheus signatus,Triportheus signatus,Characiformes,Triportheidae,Triportheus signatus,Actinopterygii,Osteichthyes
Triportheus trifurcatus,Triportheus trifurcatus,Characiformes,Triportheidae,Triportheus trifurcatus,Actinopterygii,Osteichthyes
Triportheus nematurus,Triportheus nematurus,Characiformes,Triportheidae,Triportheus nematurus,Actinopterygii,Osteichthyes
Umbra pygmaea,Umbra pygmaea,Esociformes,Umbridae,Umbra pygmaea,Actinopterygii,Osteichthyes
Valencia letourneuxi,Valencia letourneuxi,Cyprinodontiformes,Valenciidae,Valencia letourneuxi,Actinopterygii,Osteichthyes
ICHTHYOMYZON GAGEI,ICHTHYOMYZON GAGEI,Petromyzontiformes,Petromyzontidae,Ichthyomyzon gagei,Hyperoartia,NA
Acestrohyncus  lacustris,Acestrohyncus  lacustris,Characiformes,Acestrorhynchidae,Acestrorhynchus lacustris,Actinopterygii,NA
Galeichthys f  elis,Galeichthys f  elis,Siluriformes,Ariidae,Galeichthys f  elis,Actinopterygii,NA
Bagrus bayadi,Bagrus bayadi,Siluriformes,Bagridae,Bagrus bajad,Actinopterygii,NA
Pseudogastromzyon myersi,Pseudogastromzyon myersi,Cypriniformes,Balitoridae,Pseudogastromyzon myersi,Actinopterygii,NA
Liniparhomaloptera dispar,Liniparhomaloptera dispar,Cypriniformes,Balitoridae,Liniparhomaloptera disparis,Actinopterygii,NA
Pantosterus clarki,Pantosterus clarki,Cypriniformes,Catostomidae,Catostomus clarkii,Actinopterygii,NA
Lepomis m. macrochirus,Lepomis m. macrochirus,Centrarchiformes,Centrarchidae,Lepomis m. macrochirus,Actinopterygii,NA
bluegill sunfish,bluegill sunfish,Perciformes,Centrarchidae,Lepomis macrochirus,Actinopterygii,NA
Clarius buettifkoferi,Clarius buettifkoferi,Siluriformes,Clariidae,Clarias buettikoferi,Actinopterygii,NA
Raphiodon  vulpinus,Raphiodon  vulpinus,Characiformes,Cynodontidae,Rhaphiodon vulpinus,Actinopterygii,NA
Semotilus bullaris,Semotilus bullaris,Cypriniformes,Cyprinidae,Semotilus bullaris,Actinopterygii,NA
Leusiscus vandoisulus,Leusiscus vandoisulus,Cypriniformes,Cyprinidae,Leuciscus vandoisulus,Actinopterygii,NA
Rhynichthys atronasus,Rhynichthys atronasus,Cypriniformes,Cyprinidae,Rhynichthys atronasus,Actinopterygii,NA
Gila bicolor Pectinifer,Gila bicolor Pectinifer,Cypriniformes,Cyprinidae,Siphateles bicolor,Actinopterygii,NA
Gila bicolor obesa,Gila bicolor obesa,Cypriniformes,Cyprinidae,Siphateles bicolor,Actinopterygii,NA
Notropis micropogon,Notropis micropogon,Cypriniformes,Cyprinidae,Notropis micropogon,Actinopterygii,NA
Notropis biguttatus,Notropis biguttatus,Cypriniformes,Cyprinidae,Notropis biguttatus,Actinopterygii,NA
Barbys oligolepis,Barbys oligolepis,Cypriniformes,Cyprinidae,Oliotius oligolepis,Actinopterygii,NA
Hoplias  malabaricus,Hoplias  malabaricus,Characiformes,Erythrinidae,Hoplias malabaricus,Actinopterygii,NA
GALAXIAS MACULATUS,GALAXIAS MACULATUS,Osmeriformes,Galaxiidae,Galaxias maculatus,Actinopterygii,NA
Morone interrupto,Morone interrupto,Perciformes,Moronidae,Morone mississippiensis,Actinopterygii,NA
Morone interrupta,Morone interrupta,Perciformes,Moronidae,Morone mississippiensis,Actinopterygii,NA
NA,NA,NA,NA,NA,,NA
Leiopotherapon,Leiopotherapon,Perciformes,Terapontidae,Leiopotherapon,Actinopterygii,NA
