type_fishmatch,type_of_fish,fish_order,fish_family,fish_species,fish_class,fish_superclass
Bryconops,Bryconops,Characiformes,Characidae,Bryconops sp.,Actinopterygii,NA
Hemigrammus,Hemigrammus,Characiformes,Characidae,Hemigrammus sp.,Actinopterygii,NA
Hyphessobrycon,Hyphessobrycon,Characiformes,Characidae,Hyphessobrycon sp.,Actinopterygii,NA
Jupiaba,Jupiaba,Characiformes,Characidae,Jupiaba sp.,Actinopterygii,NA
Knodus,Knodus,Characiformes,Characidae,Knodus sp.,Actinopterygii,NA
Microschemobrycon sp.,Microschemobrycon sp.,Characiformes,Characidae,Microschemobrycon sp.,Actinopterygii,NA
Moenkhausia,Moenkhausia,Characiformes,Characidae,Moenkhausia sp.,Actinopterygii,NA
Moenkhausia gr. dichroura,Moenkhausia gr. dichroura,Characiformes,Characidae,Moenkhausia dichroura,Actinopterygii,NA
Phenacogaster,Phenacogaster,Characiformes,Characidae,Phenacogaster,Actinopterygii,NA
Pygocentrus notutus,Pygocentrus notutus,Characiformes,Characidae,Pygocentrus cariba,Actinopterygii,NA
Serrapinus,Serrapinus,Characiformes,Characidae,Serrapinnus sp.,Actinopterygii,NA
Tetragonopterus,Tetragonopterus,Characiformes,Characidae,Tetragonopterus sp.,Actinopterygii,NA
