prey_kingdom_add,prey_phylum,prey_subphylum,prey_superclass,prey_class_add,prey_subclass,prey_order_add,prey_family_add,prey_species,
Animalia,,,,Insecta,,,,,others insects_aquatic
Animalia,,,,Insecta,,,,,others insects_terrestrial
Animalia,,,,Insecta,,,,,insect remains
Animalia,,,,Insecta,,,,,insect legs
Animalia,,,,Insecta,,,,,insect organs
Animalia,,,,Insecta,,,,,small insect
Animalia,,,,Insecta,,,,,jawed insects
Animalia,,,,Insecta,,,,,aerial insects
Animalia,,,,Insecta,,,,,amphibious insects_postlarval_stages
Animalia,,,,Insecta,,,,,terrestrial insects_and_spiders
Animalia,,,,Insecta,,,,,insect appendages
Animalia,,,,Insecta,,,,,miscellaneous insecta
Animalia,,,,Insecta,,,,,unidentifable insects
Animalia,,,,Insecta,,,,,unident insects
Animalia,,,,Insecta,,,,,terrestrial insectsb
Animalia,,,,Insecta,,,,,unidentified insect_35
Animalia,,,,Insecta,,,,,insect fragments
Animalia,,,,Insecta,,,,,insect parts_and_remains
Animalia,,,,Insecta,,,,,insecta larvae
Animalia,,,,Insecta,,,,,unidentifed insecta
Animalia,,,,Insecta,,,,,unidentified terrestrial_insects
Animalia,,,,Insecta,,,,,other insecta
Animalia,,,,Insecta,,,,,other insectb
Animalia,,,,Insecta,,,,,restos de_insectos
Animalia,,,,Insecta,,,,,unidentified insect
Animalia,,,,Insecta,,,,,unidentified insect_46
Animalia,,,,Insecta,,,,,unidentified insect_56
Animalia,,,,Insecta,,,,,fragments of_aquatic_insects
Animalia,,,,Insecta,,,,,insect pupae
Animalia,,,,Insecta,,,,,insecta adult
Animalia,,,,Insecta,,,,,insecta adults
Animalia,,,,Insecta,,,,,insects eggs
Animalia,,,,Insecta,,,,,insects pupae
Animalia,,,,Insecta,,,,,insects remains
Animalia,,,,Insecta,,,,,misc aqautic_insects
Animalia,,,,Insecta,,,,,misc terrestrial_insects
Animalia,,,,Insecta,,,,,miscellaneous insect
Animalia,,,,Insecta,,,,,other insect_adult
Animalia,,,,Insecta,,,,,other insect_larvae
Animalia,,,,Insecta,,,,,remnants of_insects
Animalia,,,,Insecta,,,,,unidentifed insects
Animalia,,,,Insecta,,,,,unidentified insect_adult
Animalia,,,,Insecta,,,,,unidentified insecta_adults
Animalia,,,,Insecta,,,,,aquatic immature_insects
Animalia,,,,Insecta,,,,,insecteggs
,,,,,,,,,a aquaticus
Animalia,,,,Insecta,,Diptera,Chironomidae,Ablabesmyia sp.,ablabesmyia
Animalia,,,,Insecta,,Diptera,Chironomidae,Ablabesmyia sp.,ablabesmyia sp
Animalia,,,,Insecta,,Diptera,Chironomidae,Ablabesmyia sp.,ablabesmyia sp_larvae
Animalia,,,,Malacostraca,,Mysida,Mysidae,Acanthomysis sp.,acanthomysis
Animalia,,,,Arachnida,,,,,acari
,,,,,,,,,acarina
Animalia,,,,Arachnida,,Trombidiformes,,,acarina hydracarina
,,,,,,,,,acicular sp
,,,,,,,,,aclypea opaca
Animalia,,,,Insecta,,,Perlidae,Acroneuria and Perla sp.,acroneuria and_perla_nymphs
Animalia,,,,Insecta,,,Perlidae,Acroneuria sp.,acroneuria sp
Animalia,,,,Branchiopoda,,Anomopoda,Chydoridae,Acroperus sp.,acroperus
Animalia,,,,Branchiopoda,,Anomopoda,Chydoridae,Acroperus harpae,acroperus harpae
Plantae,,,,Zygnemophyceae,,Desmidiales,Desmidiaceae,Actinotaenium sp.,actinotaenium sp
Animalia,,,,Insecta,,Coleoptera,Coccinellidae,Adalia bipunctata,adalia bipunctata
Animalia,,,,Insecta,,Hymenoptera,Andrenidae,Andrena,adrena sp
,,,,,,,,,adult
Animalia,,,,Insecta,,Coleoptera,,,adult coleoptera
Animalia,,,,Insecta,,Diptera,Scathophagidae,Aecothea sp.,aecothea sp
Animalia,,,,Insecta,,Odonata,Aeshnidae,Aeshna sp.,aeshna
,,,,,,,,,afronurus
,,,,,,,,,agabus bipustulatus_adult
,,,,,,,,,agabus bipustulatus_larvae
,,,,,,,,,agapetus
,,,,,,,,,agrypnia sp
,,,,,,,,,alewife
,,,,,,,,,alewife 25
,,,,,,,,,alewife 26
,,,,,,,,,algal filament
,,,,,,,,,allocapnia torntoensis_newt
,,,,,,,,,alloperla sp
,,,,,,,,,aloma rectangula
,,,,,,,,,alona
,,,,,,,,,alona affinis
,,,,,,,,,alona rectangula
,,,,,,,,,alona sp
,,,,,,,,,alona spp
,,,,,,,,,alonella exigua
,,,,,,,,,alonella nana
,,,,,,,,,alonella sp
,,,,,,,,,amblytelina
,,,,,,,,,americorophium sp
,,,,,,,,,americorophium spinicorne
,,,,,,,,,amnicola
,,,,,,,,,amphibians
,,,,,,,,,amphibians frogs_or_toads
,,,,,,,,,amphicampa sp
,,,,,,,,,amphinemura
,,,,,,,,,amphinemura sulcicollis
,,,,,,,,,amphiooda
,,,,,,,,,amphipod
,,,,,,,,,amphipoda gammarus_sp
,,,,,,,,,amphipogon hyperboreus
,,,,,,,,,amphora sp
,,,,,,,,,anabolia
,,,,,,,,,anax
,,,,,,,,,ancylastrum fluviatile
,,,,,,,,,ancylus
,,,,,,,,,animal material
,,,,,,,,,animal remains
,,,,,,,,,anisops
,,,,,,,,,ankistrodesmus sp
,,,,,,,,,annelids
,,,,,,,,,annus
,,,,,,,,,ants
,,,,,,,,,anura
,,,,,,,,,apatania adult
,,,,,,,,,apatania larvae
,,,,,,,,,apatania pupae
,,,,,,,,,apatania sp
,,,,,,,,,aphanizomonon
,,,,,,,,,aphanocapsa sp
,,,,,,,,,aphodius sp
,,,,,,,,,aplocheilichthis johnstonii
,,,,,,,,,aplocheilichthys spp
,,,,,,,,,apocrita
,,,,,,,,,apoidea
,,,,,,,,,aprionyx peterseni
,,,,,,,,,aptania larvae
,,,,,,,,,aptania pupae
,,,,,,,,,aquatic coleoptera
,,,,,,,,,aquatic diptera
,,,,,,,,,aquatic hemiptera
,,,,,,,,,aquatic higher_plants
,,,,,,,,,aquatic invertebrates_u
,,,,,,,,,aquatic lepidoptera
,,,,,,,,,aquatic nymphs
,,,,,,,,,aquatic plants
,,,,,,,,,aquatic vegetation
,,,,,,,,,arachnida araneae
,,,,,,,,,aranea 49
,,,,,,,,,aranea 50
,,,,,,,,,archaeomysis grebnitzkii
,,,,,,,,,archlchauliodes diversus
,,,,,,,,,arctopsyche sp
,,,,,,,,,arcynopteryx sp
,,,,,,,,,argyrodiaptomus sp
,,,,,,,,,arhopalus sp
,,,,,,,,,arthropoda
,,,,,,,,,arthropoda remains
,,,,,,,,,aschiza
,,,,,,,,,asellus
,,,,,,,,,asellus meridianus
,,,,,,,,,asellus sp
,,,,,,,,,asheum sp_larvae
,,,,,,,,,aspatharia sp
,,,,,,,,,asplanchna sp
,,,,,,,,,astasia sp
,,,,,,,,,astyanax sp
,,,,,,,,,atherix
,,,,,,,,,athripsodes
,,,,,,,,,atlantic tomcod
,,,,,,,,,atyid shrimp
,,,,,,,,,aucklandobius trivacuatus
,,,,,,,,,aufwuchs
,,,,,,,,,australian smelt
,,,,,,,,,austrosimulium spp
,,,,,,,,,b capillata
,,,,,,,,,b globosus
,,,,,,,,,b pfeifferi
,,,,,,,,,b thamalakanensis
,,,,,,,,,baelis imagoes
,,,,,,,,,baetis newt
,,,,,,,,,baetis nymphs
,,,,,,,,,baetis sp
,,,,,,,,,baetis spp
,,,,,,,,,baetis spp_imagines
,,,,,,,,,baetis spp_nymphs
,,,,,,,,,baetis vagans
,,,,,,,,,baetiscids
,,,,,,,,,barbarochthon brunneum
,,,,,,,,,barbels
,,,,,,,,,barbus haasianus
,,,,,,,,,barbus paludinosus
,,,,,,,,,barbus sp
,,,,,,,,,barbus spp
,,,,,,,,,barcheek goby_ctenogobius_giurinus_rutter_gobiidae
,,,,,,,,,bass
,,,,,,,,,beetle
,,,,,,,,,beetle larvae
,,,,,,,,,benthic crustacea
,,,,,,,,,benthos
,,,,,,,,,bezzia
,,,,,,,,,bidessus sp_adult
,,,,,,,,,bighead aristichthys_nobilis_richardson_cyprinidae
,,,,,,,,,bird remains
,,,,,,,,,bitterling rhodeus_sinensis_gunther_cyprinidae
,,,,,,,,,bivalva
,,,,,,,,,bivalve
,,,,,,,,,bivalves
,,,,,,,,,black carp_mylopharyngodon_piceus_richardson_cyprinidae
,,,,,,,,,blasturus nebulosus_newt
,,,,,,,,,bloater
,,,,,,,,,blue algae
,,,,,,,,,bluegill
,,,,,,,,,bluehead sucker
,,,,,,,,,bluntnose bream_megalobrama_amblycephala_yih_cyprinidae
,,,,,,,,,boleosoma nigrum
,,,,,,,,,bombus
,,,,,,,,,bony herring
,,,,,,,,,bosmina
,,,,,,,,,bosmina longirostris
,,,,,,,,,bosmina sp
,,,,,,,,,bosmirta
,,,,,,,,,bottom debris
,,,,,,,,,brachionus
,,,,,,,,,brachionus plicatilis
,,,,,,,,,brachionus sp
,,,,,,,,,brachycentrids
,,,,,,,,,brachycentrus americanus_larvae
,,,,,,,,,brachyura sp_crabs
,,,,,,,,,branchionus sp
,,,,,,,,,branchiopoda
,,,,,,,,,brundiniella sp_larvae
,,,,,,,,,brycinus lateralis
,,,,,,,,,bryophyta
,,,,,,,,,bryozoa
,,,,,,,,,bryzoa
,,,,,,,,,bulbochaete
,,,,,,,,,bulinus
,,,,,,,,,c africana
,,,,,,,,,c cornutus
,,,,,,,,,c mossambicensis
,,,,,,,,,caddis larvae
,,,,,,,,,caddisfles
,,,,,,,,,caddisflies
,,,,,,,,,caddisfly
,,,,,,,,,caddisfly adult
,,,,,,,,,caddisfly larvae
,,,,,,,,,caddisfly pupae
,,,,,,,,,caelifara
,,,,,,,,,calanoida
,,,,,,,,,calanoida fragments
,,,,,,,,,callinectes
,,,,,,,,,cambaras bartonii
,,,,,,,,,cambartis virilis
,,,,,,,,,cambarus barb_nil
,,,,,,,,,cambarus bartonii
,,,,,,,,,cambarus pro_pinquus
,,,,,,,,,cambarus prop_inquus
,,,,,,,,,cambarus propinguus
,,,,,,,,,cambarus propinquus
,,,,,,,,,cambarus remains
,,,,,,,,,camberus
,,,,,,,,,campostoma anomalurn_pullum
,,,,,,,,,camptocercus rectirostris
,,,,,,,,,cancer magister_44
,,,,,,,,,cancer magister_45
,,,,,,,,,canthocamptus
,,,,,,,,,canuella perplexa
,,,,,,,,,canzbarus viril_is
,,,,,,,,,capnia
,,,,,,,,,capnia newt
,,,,,,,,,carabini
,,,,,,,,,cardiocladius
,,,,,,,,,caridina
,,,,,,,,,caridinia
,,,,,,,,,cariodaphnia sp
,,,,,,,,,castanophlebia
,,,,,,,,,catostomus cominersonii
,,,,,,,,,centipedes
,,,,,,,,,centritractus sp
,,,,,,,,,centroptilum
,,,,,,,,,ceratopogonid larvae
,,,,,,,,,ceratopogonide
,,,,,,,,,ceriodaphnia
,,,,,,,,,ceriodaphnia sp
,,,,,,,,,ch oroperla_sp
,,,,,,,,,chaetophora
,,,,,,,,,chaetophora sp
,,,,,,,,,chaleidinidae
,,,,,,,,,channa spp
,,,,,,,,,channa striata
,,,,,,,,,chaoborid
,,,,,,,,,chaoborus
,,,,,,,,,chaoborus larvae
,,,,,,,,,chaoborus sp
,,,,,,,,,chaoborus sp_larvae
,,,,,,,,,chaoborus sp_pupae
,,,,,,,,,char eggs
,,,,,,,,,chara
,,,,,,,,,characiforms
,,,,,,,,,characium sp
,,,,,,,,,chelostomoides
,,,,,,,,,cheumatopsyche
,,,,,,,,,chiloglanis
,,,,,,,,,chimarra
,,,,,,,,,chimarrha aterrima_larvae
,,,,,,,,,chlamydomyxa sp
,,,,,,,,,chlorangium sp
,,,,,,,,,chloroperla sp
,,,,,,,,,chloroperla torrentium
,,,,,,,,,chonchostraca
,,,,,,,,,choroterpes
,,,,,,,,,chrionomid
,,,,,,,,,chrionomid larvae_and_pupae
,,,,,,,,,chrionomid pupae
,,,,,,,,,chrysops sp_larvae
,,,,,,,,,chydorus
,,,,,,,,,chydorus sp
,,,,,,,,,chydorus sphericus
,,,,,,,,,chydorus spp
,,,,,,,,,cirripedia larva
,,,,,,,,,claassenia sabulosa
,,,,,,,,,cladocem
,,,,,,,,,cladocere
,,,,,,,,,cladophora sp
,,,,,,,,,cladotanytarsus
,,,,,,,,,clam
,,,,,,,,,clam flesh
,,,,,,,,,clarias sp
,,,,,,,,,clarias spp
,,,,,,,,,class hirudinea
,,,,,,,,,class oligochaeta
,,,,,,,,,clay
,,,,,,,,,cleopatra spp
,,,,,,,,,cloeodes
,,,,,,,,,closterium sp
