"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"1","0001FJ64TZCKASXP3ETP6EA8FP",108,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Moyle and Senayake_1984_tbl 14","10","no mention"
"2","0001FJ64TZWSDYM3DPTTN8REWY",92,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Moyle and Senayake_1984_tbl 14","20","no mention"
