fish_id,journal,author,citation,site_name,lat,lon
0001FJ64TZN0QT976T7CXSDQ1C,Nordic Journal of Freshwater Research,Hammar,"Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","Mullbarstjarn lake, Norway",64.680068,15.019222
0001FJ64TZTENQZNMZ33X01BEZ,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ1SJ0K54W619KJKCG,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZMD9CK2K5HDN84CFY,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ7C5W0SA7K4ZDWEBH,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ35NA4VXM25HEBZCY,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ986HS74JJZAWXDFM,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZGRBDNZDGANX8GA94,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZTDFNSETFQ0X2F9Z8,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZK7JBD4KRYP1WBNKT,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ1W4XDS98S1YEHWSG,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZTSJSNAHWBPM2WERA,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZZPKDRS864CB2G7AK,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZRNAV3YYAKRBAFXFD,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZPG7A7KRB6VP5SDVQ,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZYD28EJ06AE0RGPBX,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZ360B29Q7QM2AMGD0,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZXPP501DBWNPDZE86,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
0001FJ64TZRJTBD221SE2T6WXX,Journal of Zoology,Moyle and Senayake,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","Kannelyia Reserve, Sri Lanka",6.24797,80.340769
