"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"1","0001FJH3BABPVE100YTY944P8N",116.23,"Mikia, M., Dirat, I. M. G., Tsoumou, A., & Vouidibio, J. (2018). Food Habits of Bryconaethiops boulengeri Pellegrin, 1900 (Characiformes: Alestidae) of Djiri River Tributary of the Right Bank of Congo River. Open Journal of Ecology, 8(9), 510-521.","Mikia et al._2018_tbl 1","300","2008-02-01"
"2","0001FJH3BA4GK7P60MST8W807W",115,"Michael, G., & Ferreira, E. J. (1983). Shrimp-eating fishes and a case of prey-switching in Amazon Rivers. Revista Brasileira de Zoologia, 2(3), 85-97.","Michael & Ferreira_1983_tbl 3","34","1997-01-01"
"3","0001FJH3BA26BET284X475BKTQ",112.6,"Michael, G., & Ferreira, E. J. (1983). Shrimp-eating fishes and a case of prey-switching in Amazon Rivers. Revista Brasileira de Zoologia, 2(3), 85-97.","Michael & Ferreira_1983_tbl 2","55","1997-01-01"
"4","0001FJH3BAV6W83CGZN46N2CG5",91,"Perello, M. M., Simon, T. P., Thompson, H. A., & Kane, D. D. (2015). Feeding ecology of the invasive round goby, Neogobius melanostomus (Pallas, 1814), based on laboratory size preference and field diet in different habitats in the western basin of Lake Erie. Aquatic Invasions, 10(4), 463-474.","Perello et al._2015_tbl 1","under 96","2011-06-01"
"5","0001FJH3BAW22RQAN0AHMERP16",74.2,"Perello, M. M., Simon, T. P., Thompson, H. A., & Kane, D. D. (2015). Feeding ecology of the invasive round goby, Neogobius melanostomus (Pallas, 1814), based on laboratory size preference and field diet in different habitats in the western basin of Lake Erie. Aquatic Invasions, 10(4), 463-474.","Perello et al._2015_tbl 1","under 96","2011-06-01"
