"site_name","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"aracnida","0.06","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"xanthophyceae","0.74","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"xanthophyceae","0.17","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"chlorophyceae","0.37","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"chlorophyceae","0.03","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"plant_material",NA,"unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"plant_material","3.03","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"insect_parts","56.13","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"insect_parts","22.46","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"digested_material",NA,"unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"digested_material","39.15","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"stones","3.35","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"stones","1.33","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"land","1.12","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"land","0.46","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"paper","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"paper","0.06","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"rotifera","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"rotifera","0.01","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"coleoptera_noteridae","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"coleoptera_noteridae","0.06","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"fish_scale","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"fish_scale","0.29","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"characidae_scale","2.04","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"characidae_scale","1.56","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"tissue","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"tissue","0.06","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"neuroptera","0.74","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"neuroptera","0.4","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"glass","0.74","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"glass","0.22","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"ephemeroptra","1.3","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"ephemeroptra","1.15","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"ephemeropt_era_siphlonuridae","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"ephemeropt_era_siphlonuridae","0.4","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"hemiptera_corixidae","0.56","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"hemiptera_corixidae","0.58","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","1",NA,"lepidoptera","0.19","unknown"
"Rio Cauca, Colombia","22.3","81.3",NA,"mm","standard length","adult","Roeboides dayi","120","2001-03-01","2002-02-01",NA,"river",NA,"percent volume","percent","Román-Valencia et al.","2003","Bull. Mus. Reg. Hist. Nat. Torino","Román-Valencia, C., Botero, A., & RUIz, R. (2003). Trophic and reproductive ecology of Roeboides dayi (Teleostei: Characidae) from upper Rio Cauca, Colombia. Bull. Mus. Reg. Hist. Nat. Torino, 20, 16-20.","tbl 2","measurement type","2",NA,"lepidoptera","0.23","unknown"
