"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FJ64TZEFGZWBM53JN3AFA8","Lake Stora Grasan, Norway","Arctic charr","relative weight","percent",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","6",NA,"zooplankton","0","unknown"
"0001FJ64TZ6KAGSD330RF5NB2C","Lake Lidsjon, Norway","Arctic charr","relative weight","percent","200","410",NA,NA,NA,NA,"7",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","7",NA,"zooplankton","2.3","unknown"
"0001FJ64TZS4EHD8413HZYB18S","O and V Rosjon Lake, Norway","Arctic charr","relative weight","percent","135","320",NA,NA,NA,NA,"8",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","4",NA,"zooplankton","0","unknown"
"0001FJ64TZG1MQ74Q067K8MFJD","Lake Bjorkvattnet, Norway","Arctic charr","relative weight","percent","166","341",NA,NA,NA,NA,"8",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","8",NA,"zooplankton","0","unknown"
"0001FJ64TZGEQJ8RYQAZTE7GN3","Lake Stora Mjolkvattnet, Norway","Arctic charr","relative weight","percent","150","220",NA,NA,NA,NA,"8",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","10",NA,"zooplankton","0","unknown"
"0001FJ64TZN0QT976T7CXSDQ1C","Mullbarstjarn lake, Norway","Arctic charr","relative weight","percent","300","350",NA,NA,NA,NA,"9",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","1",NA,"zooplankton","0","unknown"
"0001FJ64TZWRRA98DZ9MR3Q81G","lake nakten, Norway","Arctic charr","relative weight","percent","300","350",NA,NA,NA,NA,"10",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","15",NA,"zooplankton","0","unknown"
"0001FJ64TZYJBDWF8K31X65DJF","Lake riebnes, Norway","Arctic charr","relative weight","percent","198","470",NA,NA,NA,NA,"12",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","13",NA,"zooplankton","57.9","unknown"
"0001FJ64TZM9AAZBKK2CSWZMJS","lake blasjon, Norway","Arctic charr","relative weight","percent","150","300",NA,NA,NA,NA,"12",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","19",NA,"zooplankton","0","unknown"
"0001FJ64TZ0GM38A6XF1DFXPS2","Lake Dabbsjon, Norway","Arctic charr","relative weight","percent","277","385",NA,NA,NA,NA,"14",NA,NA,NA,"lake",NA,"Hammar","1998","Nordic Journal of Freshwater Research","Hammar, J. O. H. A. N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.","tbl 2","collection site","9",NA,"zooplankton","0","unknown"
