"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"diatomophyceae","0.8669","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"cyanophyceae","0.1169","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"chlorophyceae","0.1353","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"chrysophyceae","1e-04","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"euglenophyceae","0.0024","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"dinophyceae","4e-04","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"ulvophyceae","0.0026","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"zygnematophyceae","0.0063","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"unidentified phytoplankton","3e-04","unknown"
"0001FJ5W1BQ04PC6K6D05KVAKY","Niger River, Benin, Nigeria","Marcusenius senegalensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"2019","2015-11-01","2016-08-01",NA,"river",NA,"Adjibade et al.","2019","International Journal of Fisheries and Aquatic Studies","Adjibade, K. N., Adite, A., Arame, H., & Sidi, R. (2019). Feeding ecology of Marcusenius senegalensis (Pisces: Osteoglossiformes: Mormyridae; Steindachner, 1870) from Niger River in Northern Benin.","tbl 1",NA,"1",NA,"protozoans","0.0014","unknown"
