,,"Diet composition and feeding parameters in age groups of Squalius carolitertii from the Tormes River, Central Spain"
,,,Age 1,,,,,,Age 2,,,,,,Age 3,,,,,,Age 5
Prey item,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage
,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D
Chironomidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Simuliidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Diptera gen. sp.,0.6,2.9,—,1,—,IF,—,—,—,—,—,—,0.6,14.3,—,1,—,IF,—,—,—,—,—,—
Formicidae,5.1,17.1,—,0.8,—,11.7,5.6,23.1,—,0.9,—,12.6,0.6,14.3,—,0.2,—,1.5,—,—,—,-1,—,0
Coleoptera gen. sp.,0.6,2.9,—,1,—,IF,—,—,—,—,—,—,0.6,14.3,—,1,—,IF,—,—,—,—,—,—
Arachnida gen. sp.,1.3,5.7,—,1,—,IF,1.9,7.7,—,1,—,IF,—,—,—,—,—,—,—,—,—,—,—,—
Fish,—,—,—,—,—,—,—,—,—,—,—,—,0.6,14.3,—,—,—,—,—,—,—,—,—,—
Detritus,—,65.7,—,—,—,—,—,53.8,—,—,—,—,—,28.6,—,—,—,—,—,0,—,—,—,—
Ai = relative abundance; Fi = frequency of occurrence; Ivlev = Ivlev’s selectivity index; Savage = Savage selectivity index; IF = Savage index tended to infinity; OP = other prey items;
B = Benthos; D = Drift; Benthos and drift composition are shown in Table 1.
