,Family,Species,Study
2117,Cichlidae,Apistogramma elizabethae,"Kullander, 1980"
2118,Cichlidae,Apistogramma eunotus,"Kullander, 1981"
2119,Cichlidae,Apistogramma flabellicauda,"Mesa S. & Lasso, 2011"
2120,Cichlidae,Apistogramma geisleri,"Meinken, 1971"
2121,Cichlidae,Apistogramma gephyra,"Kullander, 1980"
2122,Cichlidae,Apistogramma gibbiceps,"Meinken, 1969"
2123,Cichlidae,Apistogramma helkeri,"Schindler & Staeck, 2013"
2124,Cichlidae,Apistogramma hippolytae,"Kullander, 1982"
2125,Cichlidae,Apistogramma hoignei,"Meinken, 1965"
2126,Cichlidae,Apistogramma hongsloi,"Kullander, 1979"
2127,Cichlidae,Apistogramma inconspicua,"Kullander, 1983"
2128,Cichlidae,Apistogramma iniridae,"Kullander, 1979"
2129,Cichlidae,Apistogramma inornata,"Staeck, 2003"
2130,Cichlidae,Apistogramma intermedia,"Mesa S. & Lasso, 2011"
2131,Cichlidae,Apistogramma juruensis,"Kullander, 1986"
2132,Cichlidae,Apistogramma linkei,"Koslowski, 1985"
2133,Cichlidae,Apistogramma luelingi,"Kullander, 1976"
2134,Cichlidae,Apistogramma macmasteri,"Kullander, 1979"
2135,Cichlidae,Apistogramma megaptera,"Mesa S. & Lasso, 2011"
2136,Cichlidae,Apistogramma meinkeni,"Kullander, 1980"
2137,Cichlidae,Apistogramma mendezi,"Römer, 1994"
2138,Cichlidae,Apistogramma minima,"Mesa S. & Lasso, 2011"
2139,Cichlidae,Apistogramma moae,"Kullander, 1980"
2140,Cichlidae,Apistogramma nijsseni,"Kullander, 1979"
2141,Cichlidae,Apistogramma norberti,"Staeck, 1991"
2142,Cichlidae,Apistogramma nororientalis,"Mesa S. & Lasso, 2011"
2143,Cichlidae,Apistogramma ortegai,"Britzke, Oliveira & Kullander, 2014"
2144,Cichlidae,Apistogramma panduro,"Römer, 1997"
2145,Cichlidae,Apistogramma paucisquamis,"Kullander & Staeck, 1988"
2146,Cichlidae,Apistogramma payaminonis,"Kullander, 1986"
2147,Cichlidae,Apistogramma pedunculata,"Mesa S. & Lasso, 2011"
2148,Cichlidae,Apistogramma personata,"Kullander, 1980"
2149,Cichlidae,Apistogramma pertensis,"(Haseman, 1911)"
2150,Cichlidae,Apistogramma piaroa,"Mesa S. & Lasso, 2011"
2151,Cichlidae,Apistogramma pulchra,"Kullander, 1980"
2152,Cichlidae,Apistogramma regani,"Kullander, 1980"
2153,Cichlidae,Apistogramma resticulosa,"Kullander, 1980"
2154,Cichlidae,Apistogramma rupununi,"Fowler, 1914"
2155,Cichlidae,Apistogramma staecki,"Koslowski, 1985"
2156,Cichlidae,Apistogramma taeniata,"(Günther, 1862)"
2157,Cichlidae,Apistogramma trifasciata,"(Eigenmann & Kennedy, 1903)"
2158,Cichlidae,Apistogramma tucurui,"Staeck, 2003"
2159,Cichlidae,Apistogramma uaupesi,"Kullander, 1980"
2160,Cichlidae,Apistogramma urteagai,"Kullander, 1986"
2161,Cichlidae,Apistogramma velifera,"Staeck, 2003"
2162,Cichlidae,Apistogramma viejita,"Kullander, 1979"
2163,Cichlidae,Apistogramma wapisana,"Römer, Hahn & Conrad, 2006"
2164,Cichlidae,Apistogrammoides pucallpaensis,"Meinken, 1965"
2165,Cichlidae,Aristochromis christyi,"Trewavas, 1935"
2166,Cichlidae,Astatoreochromis alluaudi,"Pellegrin, 1904"
2167,Cichlidae,Astatoreochromis straeleni,"(Poll, 1944)"
2168,Cichlidae,Astatoreochromis vanderhorsti,"(Greenwood, 1954)"
2169,Cichlidae,Astatotilapia burtoni,"(Günther, 1894)"
2170,Cichlidae,Astatotilapia calliptera,"(Günther, 1894)"
2171,Cichlidae,Astatotilapia desfontainii,"(Lacepède, 1802)"
2172,Cichlidae,Astatotilapia desfontainii,"(Lacepède, 1802)"
2173,Cichlidae,Astatotilapia stappersii,"(Poll, 1943)"
2174,Cichlidae,Astatotilapia tchadensis,"Trape, 2016"
2175,Cichlidae,Astronotus crassipinnis,"(Heckel, 1840)"
2176,Cichlidae,Astronotus ocellatus,"(Agassiz, 1831)"
2177,Cichlidae,Aulonocara aquilonium,"Konings, 1995"
2178,Cichlidae,Aulonocara auditor,"(Trewavas, 1935)"
2179,Cichlidae,Aulonocara baenschi,"Meyer & Riehl, 1985"
2180,Cichlidae,Aulonocara brevinidus,"Konings, 1995"
2181,Cichlidae,Aulonocara brevirostre,"(Trewavas, 1935)"
2182,Cichlidae,Aulonocara ethelwynnae,"Meyer, Riehl & Zetzsche, 1987"
2183,Cichlidae,Aulonocara gertrudae,"Konings, 1995"
2184,Cichlidae,Aulonocara guentheri,"Eccles, 1989"
2185,Cichlidae,Aulonocara hansbaenschi,"Meyer, Riehl & Zetzsche, 1987"
2186,Cichlidae,Aulonocara hueseri,"Meyer, Riehl & Zetzsche, 1987"
2187,Cichlidae,Aulonocara jacobfreibergi,"(Johnson, 1974)"
2188,Cichlidae,Aulonocara kandeensis,"Tawil & Allgayer, 1987"
2189,Cichlidae,Aulonocara koningsi,"Tawil, 2003"
2190,Cichlidae,Aulonocara korneliae,"Meyer, Riehl & Zetzsche, 1987"
2191,Cichlidae,Aulonocara maylandi,"Trewavas, 1984"
2192,Cichlidae,Aulonocara nyassae,"Regan, 1922"
2193,Cichlidae,Aulonocara rostratum,"Trewavas, 1935"
2194,Cichlidae,Aulonocara saulosi,"Meyer, Riehl & Zetzsche, 1987"
2195,Cichlidae,Aulonocara steveni,"Meyer, Riehl & Zetzsche, 1987"
2196,Cichlidae,Aulonocara stonemani,"(Burgess & Axelrod, 1973)"
2197,Cichlidae,Aulonocara stuartgranti,"Meyer & Riehl, 1985"
2198,Cichlidae,Aulonocara trematocephalum,"(Boulenger, 1901)"
2199,Cichlidae,Aulonocranus dewindti,"(Boulenger, 1899)"
2200,Cichlidae,Australoheros angiru,"Rícan, Piálek, Almirón & Casciotta, 2011"
2201,Cichlidae,Australoheros facetus,"(Jenyns, 1842)"
2202,Cichlidae,Australoheros forquilha,"Rícan & Kullander, 2008"
2203,Cichlidae,Australoheros guarani,"Rícan & Kullander, 2008"
2204,Cichlidae,Australoheros kaaygua,"Casciotta, Almirón & Gómez, 2006"
2205,Cichlidae,Australoheros mattosi,"Ottoni, 2012"
2206,Cichlidae,Australoheros minuano,"Rícan & Kullander, 2008"
2207,Cichlidae,Australoheros montanus,"Ottoni, 2012"
2208,Cichlidae,Australoheros tavaresi,"Ottoni, 2012"
2209,Cichlidae,Australoheros tembe,"(Casciotta, Gómez & Toresanni, 1995)"
2210,Cichlidae,Australoheros ykeregua,"Rícan, Piálek, Almirón & Casciotta, 2011"
2211,Cichlidae,Baileychromis centropomoides,"(Bailey & Stewart, 1977)"
2212,Cichlidae,Bathybates fasciatus,"Boulenger, 1901"
2213,Cichlidae,Bathybates ferox,"Boulenger, 1898"
2214,Cichlidae,Bathybates graueri,"Steindachner, 1911"
2215,Cichlidae,Bathybates hornii,"Steindachner, 1911"
2216,Cichlidae,Bathybates leo,"Poll, 1956"
2217,Cichlidae,Bathybates minor,"Boulenger, 1906"
2218,Cichlidae,Bathybates vittatus,"Boulenger, 1914"
2219,Cichlidae,Benitochromis batesii,"(Boulenger, 1901)"
2220,Cichlidae,Benitochromis conjunctus,"Lamboj, 2001"
2221,Cichlidae,Benitochromis finleyi,"(Trewavas, 1974)"
2222,Cichlidae,Benitochromis nigrodorsalis,"Lamboj, 2001"
2223,Cichlidae,Benitochromis riomuniensis,"(Thys van den Audenaerde, 1981)"
2224,Cichlidae,Benitochromis ufermanni,"Lamboj, 2001"
2225,Cichlidae,Benthochromis horii,"Takahashi, 2008"
2226,Cichlidae,Benthochromis melanoides,"(Poll, 1984)"
2227,Cichlidae,Benthochromis tricoti,"(Poll, 1948)"
2228,Cichlidae,Biotodoma cupido,"(Heckel, 1840)"
2229,Cichlidae,Biotodoma wavrini,"(Gosse, 1963)"
2230,Cichlidae,Biotoecus dicentrarchus,"Kullander, 1989"
2231,Cichlidae,Biotoecus opercularis,"(Steindachner, 1875)"
2232,Cichlidae,Boulengerochromis microlepis,"(Boulenger, 1899)"
2233,Cichlidae,Buccochromis atritaeniatus,"(Regan, 1922)"
2234,Cichlidae,Buccochromis heterotaenia,"(Trewavas, 1935)"
2235,Cichlidae,Buccochromis lepturus,"(Regan, 1922)"
2236,Cichlidae,Buccochromis nototaenia,"(Boulenger, 1902)"
2237,Cichlidae,Buccochromis oculatus,"(Trewavas, 1935)"
2238,Cichlidae,Buccochromis rhoadesii,"(Boulenger, 1908)"
2239,Cichlidae,Buccochromis spectabilis,"(Trewavas, 1935)"
2240,Cichlidae,Bujurquina apoparuana,"Kullander, 1986"
2241,Cichlidae,Bujurquina cordemadi,"Kullander, 1986"
2242,Cichlidae,Bujurquina eurhinus,"Kullander, 1986"
2243,Cichlidae,Bujurquina hophrys,"Kullander, 1986"
2244,Cichlidae,Bujurquina huallagae,"Kullander, 1986"
2245,Cichlidae,Bujurquina labiosa,"Kullander, 1986"
2246,Cichlidae,Bujurquina mariae,"(Eigenmann, 1922)"
2247,Cichlidae,Bujurquina megalospilus,"Kullander, 1986"
2248,Cichlidae,Bujurquina moriorum,"Kullander, 1986"
2249,Cichlidae,Bujurquina oenolaemus,"Kullander, 1987"
2250,Cichlidae,Bujurquina ortegai,"Kullander, 1986"
2251,Cichlidae,Bujurquina peregrinabunda,"Kullander, 1986"
2252,Cichlidae,Bujurquina robusta,"Kullander, 1986"
2253,Cichlidae,Bujurquina syspilus,"(Cope, 1872)"
2254,Cichlidae,Bujurquina tambopatae,"Kullander, 1986"
2255,Cichlidae,Bujurquina vittata,"(Heckel, 1840)"
2256,Cichlidae,Bujurquina zamorensis,"(Regan, 1905)"
2257,Cichlidae,Callochromis macrops,"(Boulenger, 1898)"
2258,Cichlidae,Callochromis melanostigma,"(Boulenger, 1906)"
2259,Cichlidae,Callochromis pleurospilus,"(Boulenger, 1906)"
2260,Cichlidae,Caprichromis liemi,"(Mckaye & Mackenzie, 1982)"
2261,Cichlidae,Caprichromis orthognathus,"(Trewavas, 1935)"
2262,Cichlidae,Caquetaia kraussii,"(Steindachner, 1878)"
2263,Cichlidae,Caquetaia myersi,"(Schultz, 1944)"
2264,Cichlidae,Caquetaia spectabilis,"(Steindachner, 1875)"
2265,Cichlidae,Cardiopharynx schoutedeni,"Poll, 1942"
2266,Cichlidae,Chaetobranchopsis australis,"Eigenmann & Ward, 1907"
2267,Cichlidae,Chaetobranchopsis orbicularis,"(Steindachner, 1875)"
2268,Cichlidae,Chaetobranchus flavescens,"Heckel, 1840"
2269,Cichlidae,Chaetobranchus flavescens,"Heckel, 1840"
2270,Cichlidae,Chaetobranchus semifasciatus,"Steindachner, 1875"
2271,Cichlidae,Chalinochromis brichardi,"Poll, 1974"
2272,Cichlidae,Chalinochromis cyanophleps,"Kullander, Karlsson, Karlsson & Norén, 2014"
2273,Cichlidae,Chalinochromis popelini,"Brichard, 1989"
2274,Cichlidae,Champsochromis caeruleus,"(Boulenger, 1908)"
2275,Cichlidae,Champsochromis spilorhynchus,"(Regan, 1922)"
2276,Cichlidae,Cheilochromis euchilus,"(Trewavas, 1935)"
2277,Cichlidae,Chetia brevicauda,"Bills & Weyl, 2002"
2278,Cichlidae,Chetia brevis,"Jubb, 1968"
2279,Cichlidae,Chetia flaviventris,"Trewavas, 1961"
2280,Cichlidae,Chetia gracilis,"(Greenwood, 1984)"
2281,Cichlidae,Chetia mola,"Balon & Stewart, 1983"
2282,Cichlidae,Chetia welwitschi,"(Boulenger, 1898)"
2283,Cichlidae,Chiapaheros grammodes,"(Taylor & Miller, 1980)"
2284,Cichlidae,Chilochromis duponti,"Boulenger, 1902"
2285,Cichlidae,Chilotilapia rhoadesii,"Boulenger, 1908"
2286,Cichlidae,Chindongo ater,"(Stauffer, 1988)"
2287,Cichlidae,Chindongo bellicosus,"Li, Konings & Stauffer, 2016"
2288,Cichlidae,Chindongo cyaneus,"(Stauffer, 1988)"
2289,Cichlidae,Chindongo demasoni,"(Konings, 1994)"
2290,Cichlidae,Chindongo elongatus,"(Fryer, 1956)"
2291,Cichlidae,Chindongo flavus,"(Stauffer, 1988)"
2292,Cichlidae,Chindongo heteropictus,"(Staeck, 1980)"
2293,Cichlidae,Chindongo longior,"(Seegers, 1996)"
2294,Cichlidae,Chindongo minutus,"(Fryer, 1956)"
2295,Cichlidae,Chindongo saulosi,"(Konings, 1990)"
2296,Cichlidae,Chindongo socolofi,"(Johnson, 1974)"
2297,Cichlidae,Chromidotilapia cavalliensis,"(Thys van den Audenaerde & Loiselle, 1971)"
2298,Cichlidae,Chromidotilapia elongata,"Lamboj, 1999"
2299,Cichlidae,Chromidotilapia guntheri,"(Sauvage, 1882)"
2300,Cichlidae,Chromidotilapia kingsleyae,"Boulenger, 1898"
2301,Cichlidae,Chromidotilapia linkei,"Staeck, 1980"
2302,Cichlidae,Chromidotilapia mamonekenei,"Lamboj, 1999"
2303,Cichlidae,Chromidotilapia melaniae,"Lamboj, 2003"
2304,Cichlidae,Chromidotilapia mrac,"Lamboj, 2002"
2305,Cichlidae,Chromidotilapia nana,"Lamboj, 2003"
2306,Cichlidae,Chromidotilapia regani,"(Pellegrin, 1906)"
2307,Cichlidae,Chromidotilapia schoutedeni,"(Poll & Thys van den Audenaerde, 1967)"
2308,Cichlidae,Chromidotilapia schoutedeni,"(Poll & Thys van den Audenaerde, 1967)"
2309,Cichlidae,Cichla intermedia,"Machado-Allison, 1971"
2310,Cichlidae,Cichla kelberi,"Kullander & Ferreira, 2006"
2311,Cichlidae,Cichla monoculus,"Agassiz, 1831"
2312,Cichlidae,Cichla nigromaculata,"Jardine & Schomburgk, 1843"
2313,Cichlidae,Cichla orinocensis,"Humboldt, 1821"
2314,Cichlidae,Cichla piquiti,"Kullander & Ferreira, 2006"
2315,Cichlidae,Cichla pleiozona,"Kullander & Ferreira, 2006"
2316,Cichlidae,Cichla temensis,"Humboldt, 1821"
2317,Cichlidae,Cichlasoma amazonarum,"Kullander, 1983"
2318,Cichlidae,Cichlasoma amazonarum,"Kullander, 1983"
2319,Cichlidae,Cichlasoma araguaiense,"Kullander, 1983"
2320,Cichlidae,Cichlasoma bimaculatum,"(Linnaeus, 1758)"
2321,Cichlidae,Cichlasoma boliviense,"Kullander, 1983"
2322,Cichlidae,Cichlasoma dimerus,"(Heckel, 1840)"
2323,Cichlidae,Cichlasoma istlanum,"(Jordan & Snyder, 1899)"
2324,Cichlidae,Cichlasoma orinocense,"Kullander, 1983"
2325,Cichlidae,Cichlasoma paranaense,"Kullander, 1983"
2326,Cichlidae,Cichlasoma pusillum,"Kullander, 1983"
2327,Cichlidae,Cichlasoma sanctifranciscense,"Kullander, 1983"
2328,Cichlidae,Cichlasoma zarskei,"Ottoni, 2011"
2329,Cichlidae,Coelotilapia joka,"(Thys van den Audenaerde, 1969)"
2330,Cichlidae,Congochromis dimidiatus,"(Pellegrin, 1900)"
2331,Cichlidae,Congochromis pugnatus,"Stiassny & Schliewen, 2007"
2332,Cichlidae,Congochromis robustus,"Lamboj, 2012"
2333,Cichlidae,Congochromis sabinae,"(Lamboj, 2005)"
2334,Cichlidae,Congochromis squamiceps,"(Boulenger, 1902)"
2335,Cichlidae,Congochromis squamiceps,"(Boulenger, 1902)"
2336,Cichlidae,Congolapia bilineata,"(Pellegrin, 1900)"
2337,Cichlidae,Congolapia bilineata,"(Pellegrin, 1900)"
2338,Cichlidae,Congolapia crassa,"(Pellegrin, 1903)"
2339,Cichlidae,Congolapia crassa,"(Pellegrin, 1903)"
2340,Cichlidae,Congolapia louna,"Dunz, Vreven & Schliewen, 2012"
2341,Cichlidae,Copadichromis atripinnis,"Stauffer & Sato, 2002"
2342,Cichlidae,Copadichromis azureus,"Konings, 1990"
2343,Cichlidae,Copadichromis borleyi,"(Iles, 1960)"
2344,Cichlidae,Copadichromis chizumuluensis,"Stauffer & Konings, 2006"
2345,Cichlidae,Copadichromis chrysonotus,"(Boulenger, 1908)"
2346,Cichlidae,Copadichromis cyaneus,"(Trewavas, 1935)"
2347,Cichlidae,Copadichromis cyanocephalus,"Stauffer & Konings, 2006"
2348,Cichlidae,Copadichromis diplostigma,"Stauffer & Konings, 2006"
2349,Cichlidae,Copadichromis geertsi,"Konings, 1999"
2350,Cichlidae,Copadichromis ilesi,"Konings, 1999"
2351,Cichlidae,Copadichromis insularis,"Stauffer & Konings, 2006"
2352,Cichlidae,Copadichromis jacksoni,"(Iles, 1960)"
2353,Cichlidae,Copadichromis likomae,"(Iles, 1960)"
2354,Cichlidae,Copadichromis mbenjii,"Konings, 1990"
2355,Cichlidae,Copadichromis melas,"Stauffer & Konings, 2006"
2356,Cichlidae,Copadichromis mloto,"(Iles, 1960)"
2357,Cichlidae,Copadichromis nkatae,"(Iles, 1960)"
2358,Cichlidae,Copadichromis parvus,"Stauffer & Konings, 2006"
2359,Cichlidae,Copadichromis pleurostigma,"(Trewavas, 1935)"
2360,Cichlidae,Copadichromis pleurostigmoides,"(Iles, 1960)"
2361,Cichlidae,Copadichromis quadrimaculatus,"(Regan, 1922)"
2362,Cichlidae,Copadichromis trewavasae,"Konings, 1999"
2363,Cichlidae,Copadichromis trimaculatus,"(Iles, 1960)"
2364,Cichlidae,Copadichromis verduyni,"Konings, 1990"
2365,Cichlidae,Copadichromis virginalis,"(Iles, 1960)"
2366,Cichlidae,Coptodon bakossiorum,"(Stiassny, Schliewen & Dominey, 1992)"
2367,Cichlidae,Coptodon bemini,"(Thys van den Audenaerde, 1972)"
2368,Cichlidae,Coptodon bythobates,"(Stiassny, Schliewen & Dominey, 1992)"
2369,Cichlidae,Coptodon cameronensis,"(Holly, 1927)"
2370,Cichlidae,Coptodon camerunensis,"(Lönnberg, 1903)"
2371,Cichlidae,Coptodon coffea,"(Thys van den Audenaerde, 1970)"
2372,Cichlidae,Coptodon congica,"(Poll & Thys van den Audenaerde, 1960)"
2373,Cichlidae,Coptodon congica,"(Poll & Thys van den Audenaerde, 1960)"
2374,Cichlidae,Coptodon dageti,"(Thys van den Audenaerde, 1971)"
2375,Cichlidae,Coptodon deckerti,"(Thys van den Audenaerde, 1967)"
2376,Cichlidae,Coptodon discolor,"(Günther, 1903)"
2377,Cichlidae,Coptodon ejagham,"(Dunz & Schliewen, 2010)"
2378,Cichlidae,Coptodon flava,"(Stiassny, Schliewen & Dominey, 1992)"
2379,Cichlidae,Coptodon fusiforme,"(Dunz & Schliewen, 2010)"
2380,Cichlidae,Coptodon guineensis,"(Günther, 1862)"
2381,Cichlidae,Coptodon gutturosa,"(Stiassny, Schliewen & Dominey, 1992)"
2382,Cichlidae,Coptodon imbriferna,"(Stiassny, Schliewen & Dominey, 1992)"
2383,Cichlidae,Coptodon konkourensis,"(Dunz & Schliewen, 2012)"
2384,Cichlidae,Coptodon kottae,"(Lönnberg, 1904)"
2385,Cichlidae,Coptodon louka,"(Thys van den Audenaerde, 1969)"
2386,Cichlidae,Coptodon margaritacea,"(Boulenger, 1916)"
2387,Cichlidae,Coptodon nigrans,"(Dunz & Schliewen, 2010)"
2388,Cichlidae,Coptodon nyongana,"(Thys van den Audenaerde, 1971)"
2389,Cichlidae,Coptodon rendalli,"(Boulenger, 1897)"
2390,Cichlidae,Coptodon rheophila,"(Daget, 1962)"
2391,Cichlidae,Coptodon snyderae,"(Stiassny, Schliewen & Dominey, 1992)"
2392,Cichlidae,Coptodon spongotroktis,"(Stiassny, Schliewen & Dominey, 1992)"
2393,Cichlidae,Coptodon tholloni,"(Sauvage, 1884)"
2394,Cichlidae,Coptodon thysi,"(Stiassny, Schliewen & Dominey, 1992)"
2395,Cichlidae,Coptodon walteri,"(Thys van den Audenaerde, 1968)"
2396,Cichlidae,Coptodon zillii,"(Gervais, 1848)"
2397,Cichlidae,Corematodus shiranus,"Boulenger, 1897"
2398,Cichlidae,Corematodus taeniatus,"Trewavas, 1935"
2399,Cichlidae,Crenicara latruncularium,"Kullander & Staeck, 1990"
2400,Cichlidae,Crenicara punctulatum,"(Günther, 1863)"
2401,Cichlidae,Crenicichla acutirostris,"Günther, 1862"
2402,Cichlidae,Crenicichla adspersa,"Heckel, 1840"
2403,Cichlidae,Crenicichla alta,"Eigenmann, 1912"
2404,Cichlidae,Crenicichla anthurus,"Cope, 1872"
2405,Cichlidae,Crenicichla britskii,"Kullander, 1982"
2406,Cichlidae,Crenicichla cametana,"Steindachner, 1911"
2407,Cichlidae,Crenicichla celidochilus,"Casciotta, 1987"
2408,Cichlidae,Crenicichla cincta,"Regan, 1905"
2409,Cichlidae,Crenicichla compressiceps,"Ploeg, 1986"
2410,Cichlidae,Crenicichla cyanonotus,"Cope, 1870"
2411,Cichlidae,Crenicichla cyclostoma,"Ploeg, 1986"
2412,Cichlidae,Crenicichla empheres,"Lucena, 2007"
2413,Cichlidae,Crenicichla gaucho,"Lucena & Kullander, 1992"
2414,Cichlidae,Crenicichla geayi,"Pellegrin, 1903"
2415,Cichlidae,Crenicichla hadrostigma,"Lucena, 2007"
2416,Cichlidae,Crenicichla haroldoi,"Luengo & Britski, 1974"
2417,Cichlidae,Crenicichla heckeli,"Ploeg, 1989"
2418,Cichlidae,Crenicichla hemera,"Kullander, 1990"
2419,Cichlidae,Crenicichla hummelincki,"Ploeg, 1991"
2420,Cichlidae,Crenicichla igara,"Lucena & Kullander, 1992"
2421,Cichlidae,Crenicichla iguassuensis,"Haseman, 1911"
2422,Cichlidae,Crenicichla inpa,"Ploeg, 1991"
2423,Cichlidae,Crenicichla isbrueckeri,"Ploeg, 1991"
2424,Cichlidae,Crenicichla jaguarensis,"Haseman, 1911"
2425,Cichlidae,Crenicichla jegui,"Ploeg, 1986"
2426,Cichlidae,Crenicichla johanna,"Heckel, 1840"
2427,Cichlidae,Crenicichla jupiaensis,"Britski & Luengo, 1968"
2428,Cichlidae,Crenicichla jurubi,"Lucena & Kullander, 1992"
2429,Cichlidae,Crenicichla labrina,"(Spix & Agassiz, 1831)"
2430,Cichlidae,Crenicichla lacustris,"(Castelnau, 1855)"
2431,Cichlidae,Crenicichla lenticulata,"Heckel, 1840"
2432,Cichlidae,Crenicichla lepidota,"Heckel, 1840"
2433,Cichlidae,Crenicichla lucius,"Cope, 1870"
2434,Cichlidae,Crenicichla lugubris,"Heckel, 1840"
2435,Cichlidae,Crenicichla macrophthalma,"Heckel, 1840"
2436,Cichlidae,Crenicichla mandelburgeri,"Kullander, 2009"
2437,Cichlidae,Crenicichla marmorata,"Pellegrin, 1904"
2438,Cichlidae,Crenicichla minuano,"Lucena & Kullander, 1992"
2439,Cichlidae,Crenicichla missioneira,"Lucena & Kullander, 1992"
2440,Cichlidae,Crenicichla niederleinii,"(Holmberg, 1891)"
2441,Cichlidae,Crenicichla notophthalmus,"Regan, 1913"
2442,Cichlidae,Crenicichla pellegrini,"Ploeg, 1991"
2443,Cichlidae,Crenicichla percna,"Kullander, 1991"
2444,Cichlidae,Crenicichla phaiospilus,"Kullander, 1991"
2445,Cichlidae,Crenicichla prenda,"Lucena & Kullander, 1992"
2446,Cichlidae,Crenicichla proteus,"Cope, 1872"
2447,Cichlidae,Crenicichla pydanielae,"Ploeg, 1991"
2448,Cichlidae,Crenicichla regani,"Ploeg, 1989"
2449,Cichlidae,Crenicichla reticulata,"(Heckel, 1840)"
2450,Cichlidae,Crenicichla reticulata,"(Heckel, 1840)"
2451,Cichlidae,Crenicichla rosemariae,"Kullander, 1997"
2452,Cichlidae,Crenicichla santosi,"Ploeg, 1991"
2453,Cichlidae,Crenicichla santosi,"Ploeg, 1991"
2454,Cichlidae,Crenicichla scottii,"(Eigenmann, 1907)"
2455,Cichlidae,Crenicichla sedentaria,"Kullander, 1986"
2456,Cichlidae,Crenicichla semicincta,"Steindachner, 1892"
2457,Cichlidae,Crenicichla semifasciata,"(Heckel, 1840)"
2458,Cichlidae,Crenicichla stocki,"Ploeg, 1991"
2459,Cichlidae,Crenicichla strigata,"Günther, 1862"
2460,Cichlidae,Crenicichla sveni,"Ploeg, 1991"
2461,Cichlidae,Crenicichla taikyra,"Casciotta, Almirón, Aichino, Gómez, Piálek & Rícan, 2013"
2462,Cichlidae,Crenicichla tapii,"Piálek, Dragová, Casciotta, Almirón & Rícan, 2015"
2463,Cichlidae,Crenicichla tendybaguassu,"Lucena & Kullander, 1992"
2464,Cichlidae,Crenicichla tesay,"Casciotta & Almirón, 2009"
2465,Cichlidae,Crenicichla tigrina,"Ploeg, Jégu & Ferreira, 1991"
2466,Cichlidae,Crenicichla tuca,"Piálek, Dragová, Casciotta, Almirón & Rícan, 2015"
2467,Cichlidae,Crenicichla urosema,"Kullander, 1990"
2468,Cichlidae,Crenicichla virgatula,"Ploeg, 1991"
2469,Cichlidae,Crenicichla vittata,"Heckel, 1840"
2470,Cichlidae,Crenicichla yaha,"Casciotta, Almirón & Gómez, 2006"
2471,Cichlidae,Crenicichla ypo,"Casciotta, Almirón, Piálek, Gómez & Rícan, 2010"
2472,Cichlidae,Ctenochromis horei,"(Günther, 1894)"
2473,Cichlidae,Ctenochromis luluae,"(Fowler, 1930)"
2474,Cichlidae,Ctenochromis oligacanthus,"(Regan, 1922)"
2475,Cichlidae,Ctenochromis pectoralis,"Pfeffer, 1893"
2476,Cichlidae,Ctenochromis polli,"(Thys van den Audenaerde, 1964)"
2477,Cichlidae,Ctenochromis polli,"(Thys van den Audenaerde, 1964)"
2478,Cichlidae,Ctenopharynx intermedius,"(Günther, 1864)"
2479,Cichlidae,Ctenopharynx nitidus,"(Trewavas, 1935)"
2480,Cichlidae,Ctenopharynx pictus,"(Trewavas, 1935)"
2481,Cichlidae,Cunningtonia longiventralis,"Boulenger, 1906"
2482,Cichlidae,Cyathochromis obliquidens,"Trewavas, 1935"
2483,Cichlidae,Cyathopharynx furcifer,"(Boulenger, 1898)"
2484,Cichlidae,Cyclopharynx fwae,"Poll, 1948"
2485,Cichlidae,Cyclopharynx schwetzi,"(Poll, 1948)"
2486,Cichlidae,Cynotilapia afra,"(Günther, 1894)"
2487,Cichlidae,Cynotilapia aurifrons,"(Tawil, 2011)"
2488,Cichlidae,Cynotilapia axelrodi,"Burgess, 1976"
2489,Cichlidae,Cynotilapia chilundu,"Li, Konings & Stauffer, 2016"
2490,Cichlidae,Cynotilapia zebroides,"(Johnson, 1975)"
2491,Cichlidae,Cyphotilapia frontosa,"(Boulenger, 1906)"
2492,Cichlidae,Cyphotilapia gibberosa,"Takahashi & Nakaya, 2003"
2493,Cichlidae,Cyprichromis coloratus,"Takahashi & Hori, 2006"
2494,Cichlidae,Cyprichromis leptosoma,"(Boulenger, 1898)"
2495,Cichlidae,Cyprichromis microlepidotus,"(Poll, 1956)"
2496,Cichlidae,Cyprichromis pavo,"Büscher, 1994"
2497,Cichlidae,Cyprichromis zonatus,"Takahashi, Hori & Nakaya, 2002"
2498,Cichlidae,Cyrtocara moorii,"Boulenger, 1902"
2499,Cichlidae,Danakilia dinicolai,"Stiassny, De Marchi & Lamboj, 2010"
2500,Cichlidae,Danakilia franchettii,"(Vinciguerra, 1931)"
2501,Cichlidae,Dicrossus filamentosus,"(Ladiges, 1958)"
2502,Cichlidae,Dicrossus foirni,"Römer, Hahn & Vergara, 2010"
2503,Cichlidae,Dicrossus maculatus,"Steindachner, 1875"
2504,Cichlidae,Dicrossus warzeli,"Römer, Hahn & Vergara, 2010"
2505,Cichlidae,Dimidiochromis compressiceps,"(Boulenger, 1908)"
2506,Cichlidae,Dimidiochromis dimidiatus,"(Günther, 1864)"
2507,Cichlidae,Dimidiochromis kiwinge,"(Ahl, 1926)"
2508,Cichlidae,Dimidiochromis strigatus,"(Regan, 1922)"
2509,Cichlidae,Diplotaxodon aeneus,"Turner & Stauffer, 1998"
