,Family,Species,Study
91,Adrianichthyidae,Adrianichthys roseni,"Parenti & Soeroto, 2004"
92,Adrianichthyidae,Oryzias haugiangensis,"Roberts, 1998"
93,Adrianichthyidae,Oryzias javanicus,"(Bleeker, 1854)"
94,Adrianichthyidae,Oryzias latipes,"(Temminck & Schlegel, 1846)"
95,Adrianichthyidae,Oryzias marmoratus,"(Aurich, 1935)"
96,Adrianichthyidae,Oryzias matanensis,"(Aurich, 1935)"
97,Adrianichthyidae,Oryzias mekongensis,"Uwa & Magtoon, 1986"
98,Adrianichthyidae,Oryzias minutillus,"Smith, 1945"
99,Adrianichthyidae,Oryzias nebulosus,"Parenti & Soeroto, 2004"
100,Adrianichthyidae,Oryzias nigrimas,"Kottelat, 1990"
101,Adrianichthyidae,Oryzias orthognathus,"Kottelat, 1990"
102,Adrianichthyidae,Oryzias pectoralis,"Roberts, 1998"
103,Adrianichthyidae,Oryzias profundicola,"Kottelat, 1990"
104,Adrianichthyidae,Oryzias sinensis,"Chen, Uwa & Chu, 1989"
105,Adrianichthyidae,Oryzias songkhramensis,"Magtoon, 2010"
106,Adrianichthyidae,Oryzias uwai,"Roberts, 1998"
107,Ailiidae,Ailia coila,"(Hamilton, 1822)"
108,Ailiidae,Ailiichthys punctata,"Day, 1872"
109,Ailiidae,Clupisoma garua,"(Hamilton, 1822)"
110,Ailiidae,Clupisoma longianalis,"(Huang, 1981)"
111,Ailiidae,Clupisoma naziri,"Mirza & Awan, 1973"
112,Ailiidae,Clupisoma nujiangense,"Chen, Ferraris & Yang, 2005"
113,Ailiidae,Clupisoma prateri,"Hora, 1937"
114,Ailiidae,Clupisoma roosae,"Ferraris, 2004"
115,Ailiidae,Clupisoma sinense,"(Huang, 1981)"
116,Ailiidae,Laides longibarbis,"(Fowler, 1934)"
117,Akysidae,Acrochordonichthys gyrinus,"Vidthayanon & Ng, 2003"
118,Akysidae,Acrochordonichthys septentrionalis,"Ng & Ng, 2001"
119,Akysidae,Akysis bilustris,"Ng, 2011"
120,Akysidae,Akysis brachybarbatus,"Chen, 1981"
121,Akysidae,Akysis ephippifer,"Ng & Kottelat, 1998"
122,Akysidae,Akysis fuliginatus,"Ng & Rainboth, 2005"
123,Akysidae,Akysis maculipinnis,"Fowler, 1934"
124,Akysidae,Akysis recavus,"Ng & Kottelat, 1998"
125,Akysidae,Akysis variegatus,"(Bleeker, 1846)"
126,Akysidae,Akysis varius,"Ng & Kottelat, 1998"
127,Akysidae,Pseudobagarius filifer,"(Ng & Rainboth, 2005)"
128,Akysidae,Pseudobagarius hardmani,"(Ng & Sabaj Pérez, 2005)"
129,Akysidae,Pseudobagarius inermis,"(Ng & Kottelat, 2000)"
130,Akysidae,Pseudobagarius leucorhynchus,"(Fowler, 1934)"
131,Akysidae,Pseudobagarius nitidus,"(Ng & Rainboth, 2005)"
132,Akysidae,Pseudobagarius similis,"(Ng & Kottelat, 1998)"
133,Akysidae,Pseudobagarius sinensis,"(He, 1981)"
134,Akysidae,Pseudobagarius subtilis,"(Ng & Kottelat, 1998)"
135,Albulidae,Albula glossodonta,"(Forsskål, 1775)"
136,Alestidae,Alestes ansorgii,"Boulenger, 1910"
137,Alestidae,Alestes baremoze,"(Joannis, 1835)"
138,Alestidae,Alestes dentex,"(Linnaeus, 1758)"
139,Alestidae,Alestes inferus,"Stiassny, Schelly & Mamonekene, 2009"
140,Alestidae,Alestes liebrechtsii,"Boulenger, 1898"
141,Alestidae,Alestes liebrechtsii,"Boulenger, 1898"
142,Alestidae,Alestes macrophthalmus,"Günther, 1867"
143,Alestidae,Alestes stuhlmannii,"Pfeffer, 1896"
144,Alestidae,Alestopetersius bifasciatus,"(Poll, 1967)"
145,Alestidae,Alestopetersius bifasciatus,"(Poll, 1967)"
146,Alestidae,Alestopetersius brichardi,"Poll, 1967"
147,Alestidae,Alestopetersius brichardi,"Poll, 1967"
148,Alestidae,Alestopetersius caudalis,"(Boulenger, 1899)"
149,Alestidae,Alestopetersius caudalis,"(Boulenger, 1899)"
150,Alestidae,Alestopetersius compressus,"(Poll & Gosse, 1963)"
151,Alestidae,Alestopetersius compressus,"(Poll & Gosse, 1963)"
152,Alestidae,Alestopetersius conspectus,"Mbimbi Mayi Munene & Stiassny, 2012"
153,Alestidae,Alestopetersius hilgendorfi,"(Boulenger, 1899)"
154,Alestidae,Alestopetersius hilgendorfi,"(Boulenger, 1899)"
155,Alestidae,Alestopetersius leopoldianus,"(Boulenger, 1899)"
156,Alestidae,Alestopetersius leopoldianus,"(Boulenger, 1899)"
157,Alestidae,Alestopetersius nigropterus,"Poll, 1967"
158,Alestidae,Alestopetersius smykalai,"Poll, 1967"
159,Alestidae,Alestopetersius tumbensis,"Hoedeman, 1951"
160,Alestidae,Alestopetersius tumbensis,"Hoedeman, 1951"
161,Alestidae,Arnoldichthys spilopterus,"(Boulenger, 1909)"
162,Alestidae,Bathyaethiops atercrinis,"Mamonekene & Stiassny, 2012"
163,Alestidae,Bathyaethiops baka,"Moritz & Schliewen, 2016"
164,Alestidae,Bathyaethiops breuseghemi,"(Poll, 1945)"
165,Alestidae,Bathyaethiops breuseghemi,"(Poll, 1945)"
166,Alestidae,Bathyaethiops caudomaculatus,"(Pellegrin, 1925)"
167,Alestidae,Bathyaethiops caudomaculatus,"(Pellegrin, 1925)"
168,Alestidae,Bathyaethiops flammeus,"Moritz & Schliewen, 2016"
169,Alestidae,Bathyaethiops flammeus,"Moritz & Schliewen, 2016"
170,Alestidae,Bathyaethiops greeni,"Fowler, 1949"
171,Alestidae,Bathyaethiops greeni,"Fowler, 1949"
172,Alestidae,Brachypetersius altus,"(Boulenger, 1899)"
173,Alestidae,Brachypetersius altus,"(Boulenger, 1899)"
174,Alestidae,Brachypetersius cadwaladeri,"(Fowler, 1930)"
175,Alestidae,Brachypetersius cadwaladeri,"(Fowler, 1930)"
176,Alestidae,Brachypetersius gabonensis,"Poll, 1967"
177,Alestidae,Brachypetersius huloti,"(Poll, 1954)"
178,Alestidae,Brachypetersius huloti,"(Poll, 1954)"
179,Alestidae,Brachypetersius notospilus,"(Pellegrin, 1930)"
180,Alestidae,Brachypetersius pseudonummifer,"Poll, 1967"
181,Alestidae,Brachypetersius pseudonummifer,"Poll, 1967"
182,Alestidae,Brycinus abeli,"(Fowler, 1936)"
183,Alestidae,Brycinus affinis,"(Günther, 1894)"
184,Alestidae,Brycinus bartoni,"(Nichols & La Monte, 1953)"
185,Alestidae,Brycinus batesii,"(Boulenger, 1903)"
186,Alestidae,Brycinus bimaculatus,"(Boulenger, 1899)"
187,Alestidae,Brycinus bimaculatus,"(Boulenger, 1899)"
188,Alestidae,Brycinus brevis,"(Boulenger, 1903)"
189,Alestidae,Brycinus carmesinus,"(Nichols & Griscom, 1917)"
190,Alestidae,Brycinus carolinae,"(Paugy & Lévêque, 1981)"
191,Alestidae,Brycinus comptus,"(Roberts & Stewart, 1976)"
192,Alestidae,Brycinus comptus,"(Roberts & Stewart, 1976)"
193,Alestidae,Brycinus derhami,"Géry & Mahnert, 1977"
194,Alestidae,Brycinus epuluensis,"Decru, Vreven, Sadio & Snoeks, 2016"
195,Alestidae,Brycinus ferox,"(Hopson & Hopson, 1982)"
196,Alestidae,Brycinus fwaensis,"Géry, 1995"
197,Alestidae,Brycinus grandisquamis,"(Boulenger, 1899)"
198,Alestidae,Brycinus humilis,"(Boulenger, 1905)"
199,Alestidae,Brycinus imberi,"(Peters, 1852)"
200,Alestidae,Brycinus intermedius,"(Boulenger, 1903)"
201,Alestidae,Brycinus jacksonii,"(Boulenger, 1912)"
202,Alestidae,Brycinus kingsleyae,"(Günther, 1896)"
203,Alestidae,Brycinus lateralis,"(Boulenger, 1900)"
204,Alestidae,Brycinus leuciscus,"(Günther, 1867)"
205,Alestidae,Brycinus longipinnis,"(Günther, 1864)"
206,Alestidae,Brycinus luteus,"(Roman, 1966)"
207,Alestidae,Brycinus macrolepidotus,"Valenciennes, 1850"
208,Alestidae,Brycinus minutus,"(Hopson & Hopson, 1982)"
209,Alestidae,Brycinus nigricauda,"(Thys van den Audenaerde, 1974)"
210,Alestidae,Brycinus nurse,"(Rüppell, 1832)"
211,Alestidae,Brycinus opisthotaenia,"(Boulenger, 1903)"
212,Alestidae,Brycinus peringueyi,"(Boulenger, 1923)"
213,Alestidae,Brycinus peringueyi,"(Boulenger, 1923)"
214,Alestidae,Brycinus poptae,"(Pellegrin, 1906)"
215,Alestidae,Brycinus poptae,"(Pellegrin, 1906)"
216,Alestidae,Brycinus rhodopleura,"(Boulenger, 1906)"
217,Alestidae,Brycinus sadleri,"(Boulenger, 1906)"
218,Alestidae,Brycinus schoutedeni,"(Boulenger, 1912)"
219,Alestidae,Brycinus taeniurus,"(Günther, 1867)"
220,Alestidae,Brycinus tessmanni,"(Pappenheim, 1911)"
221,Alestidae,Brycinus tholloni,"(Pellegrin, 1901)"
222,Alestidae,Bryconaethiops boulengeri,"Pellegrin, 1900"
223,Alestidae,Bryconaethiops boulengeri,"Pellegrin, 1900"
224,Alestidae,Bryconaethiops macrops,"Boulenger, 1920"
225,Alestidae,Bryconaethiops microstoma,"Günther, 1873"
226,Alestidae,Bryconaethiops quinquesquamae,"Teugels & Thys van den Audenaerde, 1990"
227,Alestidae,Bryconaethiops yseuxi,"Boulenger, 1899"
228,Alestidae,Bryconaethiops yseuxi,"Boulenger, 1899"
229,Alestidae,Clupeocharax schoutedeni,"Pellegrin, 1926"
230,Alestidae,Clupeocharax schoutedeni,"Pellegrin, 1926"
231,Alestidae,Hemigrammopetersius barnardi,"(Herre, 1936)"
232,Alestidae,Hemigrammopetersius pulcher,"(Boulenger, 1909)"
233,Alestidae,Hydrocynus brevis,"(Günther, 1864)"
234,Alestidae,Hydrocynus forskahlii,"(Cuvier, 1819)"
235,Alestidae,Hydrocynus goliath,"Boulenger, 1898"
236,Alestidae,Hydrocynus vittatus,"Castelnau, 1861"
237,Alestidae,Ladigesia roloffi,"Géry, 1968"
238,Alestidae,Lepidarchus adonis,"Roberts, 1966"
239,Alestidae,Micralestes acutidens,"(Peters, 1852)"
240,Alestidae,Micralestes ambiguus,"Géry, 1995"
241,Alestidae,Micralestes comoensis,"Poll & Roman, 1967"
242,Alestidae,Micralestes congicus,"Poll, 1967"
243,Alestidae,Micralestes eburneensis,"Daget, 1965"
244,Alestidae,Micralestes elongatus,"Daget, 1957"
245,Alestidae,Micralestes fodori,"Matthes, 1965"
246,Alestidae,Micralestes holargyreus,"(Günther, 1873)"
247,Alestidae,Micralestes holargyreus,"(Günther, 1873)"
248,Alestidae,Micralestes humilis,"Boulenger, 1899"
