"fish_id","site_name","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_typeunits","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","data_sorted_by","sample_id","lon","lat","dateadded","measure_numeric","type_temp","units_temp","fish_genus","fish_order","fish_family","fish_species","fish_class","fish_superclass","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin","issue"
"0001FV0241XZEA7CF9K8EQCP49","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"coleoptera","3.9","unknown","measurement type","1","132.9651006","33.1938126","2020-12-09","3.9","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV02411X1W0PWZE64D8D9Z","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"coleoptera","0.8","unknown","measurement type","2","132.9651006","33.1938126","2020-12-09","0.8","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241XVTSJ6RCGTX7DB9Q","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","34","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"coleoptera","4.4","unknown","measurement type","3","132.9651006","33.1938126","2020-12-09","4.4","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241Z76Y7SCN0FVSZYFB","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","31","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"coleoptera","0.1","unknown","measurement type","4","132.9651006","33.1938126","2020-12-09","0.1","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241XZEA7CF9K8EQCP49","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"tipulidae","15.9","unknown","measurement type","1","132.9651006","33.1938126","2020-12-09","15.9","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV02411X1W0PWZE64D8D9Z","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"tipulidae","19.8","unknown","measurement type","2","132.9651006","33.1938126","2020-12-09","19.8","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241XVTSJ6RCGTX7DB9Q","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","34","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"tipulidae","0.1","unknown","measurement type","3","132.9651006","33.1938126","2020-12-09","0.1","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241Z76Y7SCN0FVSZYFB","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","31","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"tipulidae","15.3","unknown","measurement type","4","132.9651006","33.1938126","2020-12-09","15.3","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial","percent_not_100"
"0001FV0241XZEA7CF9K8EQCP49","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"simuliidae","1.5","unknown","measurement type","1","132.9651006","33.1938126","2020-12-09","1.5","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Simuliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV02411X1W0PWZE64D8D9Z","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"simuliidae","4.1","unknown","measurement type","2","132.9651006","33.1938126","2020-12-09","4.1","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Simuliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV0241XVTSJ6RCGTX7DB9Q","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","34","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"simuliidae","1.4","unknown","measurement type","3","132.9651006","33.1938126","2020-12-09","1.4","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Simuliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV0241Z76Y7SCN0FVSZYFB","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","31","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"simuliidae","1.3","unknown","measurement type","4","132.9651006","33.1938126","2020-12-09","1.3","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Animalia","Insecta","Diptera","Simuliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV0241XZEA7CF9K8EQCP49","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"chironomidae","2.6","unknown","measurement type","1","132.9651006","33.1938126","2020-12-09","2.6","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV02411X1W0PWZE64D8D9Z","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","30","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"chironomidae","3","unknown","measurement type","2","132.9651006","33.1938126","2020-12-09","3","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
"0001FV0241XVTSJ6RCGTX7DB9Q","Shimanto River, in south-western Shikoku, Japan",NA,NA,NA,NA,NA,NA,"Rhinogobius sp.","34","4/6/1997","8/3/1997","no mention","river","no mention","volume_percent","relative volume","percent","Sone et al.","2001","Ecological Research","Sone, S., Inoue, M., & Yanagisawa, Y. (2001). Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16(2), 205-219.","tbl 6",NA,"chironomidae","8","unknown","measurement type","3","132.9651006","33.1938126","2020-12-09","8","volume","percent",NA,"Gobiiformes","Oxudercidae","Rhinogobius sp.","Actinopteri","Actinopterygii","Metazoa","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic","percent_not_100"
