site_name,predator_min_length,predator_max_length,predator_average_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,data_sorted_by,sample_id,notes,Algae,Fruit*,Vegetal matter,Seeds*,Baetidae,Leptohyphidae,Leptophlebiidae,Ephemeroptera Ninphae,Unidentified,Anisoptera Libellulidae,Odonata unidentified,Gripopterygidae,Perlidae,Corydalidae,Unidentified,Philopotamidae,Leptoceridae,Hydropsychidae,Hydroptilidae,Unidentified larvae,Pyralidae,Curculionidae,Elmidae,Hydraenidae (fragment),Ceratopogonidae,Chironomidae,Chironomidae pupae,Simuliidae,Simuliidae pupae,Empididae,Dixidae,Diptera with cocoon,Unidentified larvae,Gerridae,Macrobrachium,Trichodactylus,Aquatic arthropod,Crustacean fragment,Invertebrate unidentified larvae,Formicidae,Unidentified adult,Hemiptera fragment,Coleoptera,Diptera,Araneae,Terrestrial arthropod fragment,Insect fragment,Oligochaeta,Fish parts,Scale
"Saquarema city, Brazil",,,,,standard length,mixed,Astyanax taeniatus,651,3/1/2006,2/1/2007,every other month,stream,,percent volume,percent,Manna et al.,2012,Brazilian Journal of Biology,"Manna, L. R., Rezende, C. F., & Mazzoni, R. (2012). Plasticity in the diet of Astyanax taeniatus in a coastal stream from south-east Brazil. Brazilian Journal of Biology, 72(4), 919-928.",tbl 1,site,1,,,,87.93,1.5,0.35,0.005,0.002,,,0.01,0.04,0.07,0.06,0.22,0.005,0.09,0.02,0.45,0.03,,0.23,,0.009,,0.006,0.04,0.07,0.93,0.05,0.06,0.002,0.003,,0.01,0.15,0.22,0.12,,0.3,0.35,1.29,0.1,0.71,0.05,0.14,,4.1,0.08,0.17,0.001
"Saquarema city, Brazil",,,,,standard length,mixed,Astyanax taeniatus,651,3/1/2006,2/1/2007,every other month,stream,,percent volume,percent,Manna et al.,2012,Brazilian Journal of Biology,"Manna, L. R., Rezende, C. F., & Mazzoni, R. (2012). Plasticity in the diet of Astyanax taeniatus in a coastal stream from south-east Brazil. Brazilian Journal of Biology, 72(4), 919-928.",tbl 1,site,2,,0.27,0.14,61.97,0.38,0.06,,,0.02,0.09,0.006,,,,,,0.008,0.05,,,,,3.78,1.04,0.28,0.03,0.02,,0.07,,,,,0.02,,,,1.28,0.06,14.76,2.32,1.34,0.09,3.34,0.23,,7.48,0.82,,,0.05
"Saquarema city, Brazil",,,,,standard length,mixed,Astyanax taeniatus,651,3/1/2006,2/1/2007,every other month,stream,,percent volume,percent,Manna et al.,2012,Brazilian Journal of Biology,"Manna, L. R., Rezende, C. F., & Mazzoni, R. (2012). Plasticity in the diet of Astyanax taeniatus in a coastal stream from south-east Brazil. Brazilian Journal of Biology, 72(4), 919-928.",tbl 1,site,3,,2.68,0.91,1.22,,0.3,,,,,,,,,,,,,,,0.18,0.61,61.6,,,,0.12,,,,,,,0.3,,,,0.49,0.36,23.84,2.34,,,,,,3.41,1.09,,,0.55
