"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"1","surface_food","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
"2","chironomid_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"3","radix_peregra","unknown","Metazoa","Gastropoda",NA,"Lymnaeidae","Peregriana peregra",NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"4","sticklebacks","unknown","Animalia","Actinopterygii","Gasterosteiformes","Gasterosteidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"5","benthic_crustacea","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"6","plankton","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"7","ostracoda","unknown","Metazoa","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"8","trichoptera","unknown","Metazoa","Insecta","Trichoptera",NA,NA,"Trichoptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"9","hemiptera","unknown","Metazoa","Insecta","Hemiptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"10","cladocera","unknown","Metazoa","Branchiopoda","Diplostraca",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"11","hymenoptera","unknown","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"12","annelida","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"13","homoptera","unknown","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"14","fish_eggs","eggs","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"15","coleoptera","unknown","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"16","decapoda","unknown","Metazoa","Malacostraca","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"17","gastropoda","unknown","Metazoa","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"18","chaoborids","unknown","Animalia","Insecta","Diptera","Chaoboridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"19","fish_and_fish_remains","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"20","isopoda","unknown","Metazoa","Malacostraca","Isopoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"21","tendipeds","unknown","Animalia","Insecta","Diptera","Tendipedidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"22","amphipoda","unknown","Metazoa","Malacostraca","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"23","mysidacea","unknown","Metazoa","Malacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"24","crustacea","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"25","diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"26","filamentous_algae","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"27","unidenfied_plant","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"28","chaetopoda","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"29","diplopoda","unknown","Metazoa","Diplopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"30","ephemeroptera_larvae","larvae","Metazoa","Insecta","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"31","plecoptera_larvae","larvae","Metazoa","Insecta","Plecoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"32","coleoptera_larvae","larvae","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"33","coleoptera_adult","adults","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"34","lepidoptera_larvae","larvae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"35","lepidoptera_pupae","pupae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"36","diptera_larvae","larvae","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"37","diptera_adult","adults","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"38","hymenoptera_adult","adults","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"39","unidentified_insect","unknown","Animalia","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"40","fish","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"41","unidentified_debris","unknown","Metazoa","Clitellata",NA,NA,"unidentified",NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"42","thysanura_adult","adults","Animalia","Insecta","Thysanura",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"43","odonata_larvae","larvae","Metazoa","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"44","trichoptera_larvae","larvae","Animalia","Insecta","Trichoptera",NA,NA,"Trichoptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"45","orthoptera_adult","adults","Metazoa","Insecta","Orthoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"46","arachnida","unknown","Metazoa","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"47","mollusca","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"48","unidentified_plant_remains","unknown","Plantae",NA,NA,NA,"unidentified","Plantae",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"49","unsegmented_worms","unknown","Animalia","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"50","acarida","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"51","lepidoptera_larval","larvae","Metazoa","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"52","arichnida","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"53","unidentified_insects","unknown","Animalia","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"54","fish_ova","eggs","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"55","ephemeroptera","unknown","Metazoa","Insecta","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"56","lepidoptera","unknown","Metazoa","Insecta","Naviculales",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"57","chironomidae_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"58","nematoda","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"59","physa_sp","unknown","Metazoa","Gastropoda",NA,"Physidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"60","unidentifed_parts","unknown","Metazoa","Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"61","ova_eggs","eggs","Animalia","Echinoidea","Spatangoida","Schizasteridae",NA,NA,"Echinodermata",NA,NA,NA,NA,"aquatic"
"62","collembola","unknown","Metazoa","Collembola",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"63","calanoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"64","rangia_cuneata","unknown","Metazoa","Bivalvia","Veneroida","Mactridae","Rangia cuneata",NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"65","foraminifera","unknown","Chromista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"66","dipter_larvae","larvae","Animalia","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"67","rithropanopeus_harrisii","unknown","Metazoa","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus harrisii",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"68","cirripedia","unknown","Metazoa","Hexanauplia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"69","bottom_diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"70","insecta_undet","unknown","Metazoa","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"71","hydroids","unknown","Animalia","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"72","algae_filamentous","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"73","copepoda_arguloid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"74","palaemonid_shrimp_undet","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"75","odonata","unknown","Metazoa","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"76","sand","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","aquatic or terrestrial"
"77","palaemonetes_sp","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"78","eggs_and_cysts","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"79","copepoda_undet","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"80","harpacticoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"81","crabs_undet","unknown","Animalia","Malacostraca","Decapoda",NA,NA,NA,"Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"82","diptera","unknown","Metazoa","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"83","sponges","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"84","vascular_plants","unknown","Viridiplantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"85","rotifera","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"86","insecta","unknown","Metazoa","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"87","mytilopsis_leucopheata","unknown","Animalia","Bivalvia","Myida","Dreissenidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"88","detritus","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"89","mysid_shrimp","unknown","Animalia","Malacostraca","Mysida","Mysidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"90","rot_if_era","unknown","Animalia",NA,"Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"91","planktonic_diatoms","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"92","penaeus","unknown","Metazoa","Malacostraca","Decapoda","Penaeidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"93","fish_remains","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"94","crabs","unknown","Animalia","Malacostraca","Decapoda",NA,NA,NA,"Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"95","cyclopoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"96","palaemonidae","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"97","cyprinodon_variegatus","unknown","Metazoa","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Cyprinodon variegatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"98","callinectes_sapidus","unknown","Metazoa","Malacostraca","Decapoda","Portunidae","Callinectes sapidus",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"99","pupae_adults","adults","Animalia","Insecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"100","seeds","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"101","crustacea_undet","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"102","gambusia_affinis","unknown","Metazoa","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia affinis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"103","macrobrachium_ohione","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae","Macrobrachium ohione",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"104","micropogon_undulatus","unknown","Metazoa","Actinopterygii","Perciformes","Sciaenidae","Micropogonias undulatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"105","anchoa_mitchilli","unknown","Metazoa","Actinopterygii","Clupeiformes","Engraulidae","Anchoa mitchilli",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"106","syngnathus_sp","unknown","Metazoa","Actinopterygii","Syngnathiformes","Syngnathidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"107","organic_mat_undet","unknown",NA,NA,NA,NA,"Organic Lake virophage",NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"108","undetermined_copepods","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"109","palaemonid_shrimp","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"110","palaemonetes","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"111","mollienesia_latipinna","unknown","Metazoa","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia latipinna",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"112","gobiosoma_bosci","unknown","Metazoa","Actinopterygii","Gobiiformes","Gobiidae","Gobiosoma bosc",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"113","penaeus_sp","unknown","Metazoa","Malacostraca","Decapoda","Penaeidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"114","penaeid_shrimp","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"115","fish_larvae","larvae","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"116","cynoscion","unknown","Metazoa","Actinopterygii","Perciformes","Sciaenidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"117","myrophis_sp","unknown","Metazoa","Actinopterygii","Anguilliformes","Ophichthidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"118","detritus_sand","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"119","vertebrata","unknown","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"120","fish_scales","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"121","copepoda_harpacticoid","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"122","copepoda","unknown","Metazoa","Hexanauplia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"123","sponge","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"124","ran_gia_cuneata","unknown","Animalia","Bivalvia","Venerida","Mactridae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"125","plecoptera","unknown","Metazoa","Insecta","Plecoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"126","cheirodontinae","unknown","Metazoa","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"127","not_identified","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
"128","aquatic_vegetation","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"129","hyphessobrycon_callistus","unknown","Animalia","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"130","characidium_fasciatum","unknown","Metazoa","Actinopterygii","Characiformes","Crenuchidae","Characidium fasciatum",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"131","doradidae","unknown","Metazoa","Actinopterygii","Siluriformes","Doradidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"132","schizodon_altoparanae","unknown","Animalia","Actinopterygii","Characiformes","Anostomidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"133","auchenipteridae","unknown","Metazoa","Actinopterygii","Siluriformes","Auchenipteridae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"134","macrobrachium_amazonicum","unknown","Metazoa","Malacostraca","Decapoda","Palaemonidae","Macrobrachium amazonicum",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"135","pimelodella_grad_is","unknown","Metazoa","Actinopterygii","Siluriformes","Heptapteridae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"136","serrasalmus_marginatus","unknown","Metazoa","Actinopterygii","Characiformes","Serrasalmidae","Serrasalmus marginatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"137","pterodoras_granulosus","unknown","Metazoa","Actinopterygii","Siluriformes","Doradidae","Pterodoras granulosus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"138","pimelodidae","unknown","Metazoa","Actinopterygii","Siluriformes","Pimelodidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"139","aphyocharax_nasutus","unknown","Animalia","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"140","cheirodon_notomefas","unknown","Metazoa","Actinopterygii","Characiformes","Characidae","Serrapinnus notomelas",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"141","gymnotus_carapo","unknown","Metazoa","Actinopterygii","Gymnotiformes","Gymnotidae","Gymnotus carapo",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"142","corydoras_aeneus","unknown","Metazoa","Actinopterygii","Siluriformes","Callichthyidae","Corydoras aeneus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"143","trachydoras_paraguayensis","unknown","Metazoa","Actinopterygii","Siluriformes","Doradidae","Trachydoras paraguayensis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"144","cichlasoma_paranaense","unknown","Metazoa","Actinopterygii","Cichliformes","Cichlidae","Cichlasoma paranaense",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"145","apteronotus_alb_irons","unknown","Metazoa","Actinopterygii","Gymnotiformes","Apteronotidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"146","parauchenipterus_galeatus","unknown","Metazoa","Actinopterygii","Siluriformes","Auchenipteridae","Trachelyopterus galeatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"147","acestrorhynchus_lacustris","unknown","Metazoa","Actinopterygii","Characiformes","Acestrorhynchidae","Acestrorhynchus lacustris",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"148","rhaphiodon_vulpinus","unknown","Metazoa","Actinopterygii","Characiformes","Characidae","Rhaphiodon vulpinus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"149","rhamphychthys_rostratus","unknown","Metazoa","Actinopterygii","Gymnotiformes","Rhamphichthyidae","Rhamphichthys rostratus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"150","calichthys_cafichthys","unknown","Animalia","Actinopterygii","Siluriformes","Callichthyidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"151","loricarfchthys_platymetopon","unknown","Metazoa","Actinopterygii","Siluriformes","Loricariidae","Loricariichthys platymetopon",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"152","ctenicichla_britskii","unknown","Metazoa","Actinopterygii","Cichliformes","Cichlidae","Crenicichla britskii",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"153","btyconamericus_stramineus","unknown","Metazoa","Actinopterygii","Characiformes","Characidae","Bryconamericus stramineus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"154","steindachnerina_insculpta","unknown","Metazoa","Actinopterygii","Characiformes","Curimatidae","Steindachnerina insculpta",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"155","cyphocharax_modesta","unknown","Animalia","Actinopterygii","Characiformes","Curimatidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"156","prochilodus_lineatus","unknown","Metazoa","Actinopterygii","Characiformes","Prochilodontidae","Prochilodus lineatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"157","plagioscion_squamosissimus","unknown","Metazoa","Actinopterygii","Perciformes","Sciaenidae","Plagioscion squamosissimus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"158","m_sanctae_filomenae","unknown","Animalia","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"159","hypostomus_spp","unknown","Metazoa","Actinopterygii","Siluriformes","Loricariidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"160","apteronotus_spp","unknown","Metazoa","Actinopterygii","Gymnotiformes","Apteronotidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"161","roeboides_paranensis","unknown","Animalia","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"162","tetragonopterinae","unknown","Metazoa","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"163","characiformes_characidae","unknown","Metazoa","Actinopterygii","Characiformes",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"164","callichthyidae","unknown","Metazoa","Actinopterygii","Siluriformes","Callichthyidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"165","anostomidae","unknown","Metazoa","Actinopterygii","Characiformes","Anostomidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"166","synbranchus_marmoratus","unknown","Metazoa","Actinopterygii","Synbranchiformes","Synbranchidae","Synbranchus marmoratus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"167","a_schubarti","unknown","Animalia","Actinopterygii","Characiformes","Characidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"168","hoplias_malabaricus","unknown","Metazoa","Actinopterygii","Characiformes","Erythrinidae","Hoplias malabaricus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"169","astyanax_bimaculatus","unknown","Metazoa","Actinopterygii","Characiformes","Characidae","Astyanax bimaculatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"170","moenkhausia_intermedia","unknown","Metazoa","Actinopterygii","Characiformes","Characidae","Moenkhausia intermedia",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"171","eigenmannia_cf_triineata","unknown","Metazoa","Actinopterygii","Gymnotiformes","Sternopygidae","Eigenmannia trilineata",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"172","leporinus_obtusidens","unknown","Metazoa","Actinopterygii","Characiformes","Anostomidae","Megaleporinus obtusidens",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"173","bivalvia","unknown","Metazoa","Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"174","amphipods","unknown","Metazoa","Malacostraca","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"175","vegetable_mat","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"176","nematodes","unknown","Metazoa","Insecta","Coleoptera","Eucnemidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"177","cephalopods","unknown","Metazoa","Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"178","shrimp","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"179","shrimps","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"180","clarias_sp","unknown","Metazoa","Actinopterygii","Siluriformes","Clariidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"181","parts_of_fishes","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"182","tilapians","unknown","Animalia","Actinopterygii","Perciformes","Cichlidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"183","fragilaria","unknown","Chromista","Fragilariophyceae","Fragilariales","Fragilariaceae","Fragiliaria",NA,"Ochrophyta",NA,NA,NA,NA,"aquatic"
"184","spirulina","unknown","Bacteria","Cyanophyceae","Spirulinales","Spirulinaceae",NA,NA,"Cyanobacteria",NA,NA,NA,NA,"aquatic"
"185","green_algal_unicells","unknown","Plantae",NA,NA,NA,"Green Pelican GFP transformation vector",NA,NA,NA,NA,NA,NA,"aquatic"
"186","others","unknown","Metazoa","Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"187","filamentous_green_algae","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"188","inorganic_material","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"189","fpom","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FPOM","aquatic"
"190","homoeothrix","unknown","Bacteria","Cyanophyceae","Nostocales","Rivulariaceae",NA,NA,"Cyanobacteria",NA,NA,NA,NA,"aquatic"
"191","psocoptera","unknown","Metazoa","Insecta","Psocoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"192","gordioidea","unknown","Metazoa","Gordioida","Gordea",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"193","orthoptera","unknown","Metazoa","Insecta","Orthoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"194","plecoptera_newt","larvae","Metazoa","Insecta","Plecoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"195","araneida","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
