"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"2097","hydropsyche sparna_larvae","larvae","Animalia","Insecta","Trichoptera","Hydropsychidae","Ceratopsyche sparna",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2098","limnephilidae larvae","larvae","Animalia","Insecta","Trichoptera","Limnephilidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2099","neophylas autumnus_adult","adults","Animalia","Insecta","Trichoptera","Uenoidae","Neophylax concinnus",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2100","brachycentrus americanus_larvae","larvae","Animalia","Insecta","Trichoptera","Brachycentridae","Brachycentrus americanus",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2101","tipula sp_larvae","larvae","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2102","rhaphidolabis sp_larvae","larvae","Animalia","Insecta","Diptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2103","chironomus modestus_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae","Chironomus modestus",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2104","chironamus modestus_pupae","pupae","Animalia","Insecta","Diptera","Chironomidae","Chironomus sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2105","simulium venustum_larvae","larvae","Animalia","Insecta","Diptera","Simuliidae","Simulium sp.",NA,"Arthropopda",NA,NA,NA,NA,"aquatic"
"2106","chrysops sp_larvae","larvae","Animalia","Insecta","Diptera","Tabanidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2107","fish muscle","unknown","Animalia",NA,NA,NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2108","fish fins","unknown","Animalia",NA,NA,NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2109","whole fish","unknown","Animalia",NA,NA,NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2110","decapods","unknown","Animalia","Malacostraca","Decapoda",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
