"","site_name","lat.x","long","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat.y"
"15","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
"16","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","+","unknown","-16.9961055","65.60386"
"17","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","25","unknown","-16.9961055","65.60386"
"18","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"radix_peregra","3","unknown","-16.9961055","65.60386"
"19","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","3","larvae","-16.9961055","65.60386"
"20","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","7","larvae","-16.9961055","65.60386"
"21","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","34","larvae","-16.9961055","65.60386"
"22","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","15","7/21/1972","7/21/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","49","larvae","-16.9961055","65.60386"
"23","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","8/16/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","12","larvae","-16.9961055","65.60386"
"24","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","+","larvae","-16.9961055","65.60386"
